11:51:52 | INFO    | 20_missingness_law | loaded 303 cells from 3 donor grid(s)
11:51:55 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
11:51:55 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
16:53:34 | INFO    | 20_missingness_law | loaded 303 cells from 3 donor grid(s)
16:53:37 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
16:53:37 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
02:11:35 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
02:11:38 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
02:11:39 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
02:11:39 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:24:56 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:25:01 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:25:02 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:25:02 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:25:31 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:25:33 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:25:33 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:25:33 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:25:34 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:25:35 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:25:36 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:25:36 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law_beijing.json
01:29:47 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:29:48 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:29:49 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:29:49 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:29:50 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:29:52 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:29:52 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:29:52 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law_beijing.json
01:31:02 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:31:04 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:31:04 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
01:31:04 | INFO    | 20_missingness_law | wrote F:\BUP\results\missingness_law.json
01:33:36 | INFO    | 20_missingness_law | loaded 505 cells from 5 donor grid(s)
01:33:37 | INFO    | 20_missingness_law | wrote fig14_missingness_amplification.png, fig14_missingness_amplification.pdf
01:33:38 | INFO    | 20_missingness_law | wrote fig16_decision_rule.png, fig16_decision_rule.pdf
