hour_local,count,mean,median,std
0,2737,110.93,80.0,92.72
1,2706,110.33,78.0,93.31
2,2643,109.09,77.0,93.06
3,2633,108.9,77.0,93.75
4,2719,106.22,74.0,94.15
5,2692,104.78,76.0,89.81
6,2709,106.66,76.0,94.2
7,2721,107.82,78.0,93.24
8,2728,106.0,73.0,96.15
9,2705,98.49,67.0,91.39
10,2718,90.11,63.0,83.72
11,2721,82.56,59.0,79.56
12,2722,74.18,55.0,68.22
13,2717,69.3,54.0,62.91
14,2733,67.51,53.0,61.61
15,2719,66.55,53.0,60.75
16,2720,65.05,54.0,49.34
17,2728,70.14,57.5,56.64
18,2723,79.17,64.0,57.39
19,2734,91.78,72.0,69.19
20,2747,100.54,75.0,80.72
21,2738,105.41,79.0,83.14
22,2750,107.82,77.0,86.07
23,2751,109.84,78.0,90.7
