year,1,2,3,4,5,6,7,8,9,10,11,12
2016,,,4.4,0.69,0.0,5.83,0.54,6.32,2.5,0.54,0.42,2.42
2017,8.74,12.8,2.69,7.36,3.23,1.94,38.31,42.61,23.75,19.22,28.75,78.63
2018,47.18,47.17,37.1,37.78,25.0,20.28,15.19,51.75,99.44,100.0,3.61,18.28
2019,2.28,4.61,2.69,9.31,19.49,4.17,3.09,1.61,0.97,11.69,0.69,1.21
2020,0.4,0.29,5.24,2.5,41.26,7.64,8.33,1.75,0.14,0.0,5.83,7.8
2021,2.55,17.26,10.08,34.31,14.92,10.0,34.81,14.11,33.47,13.98,1.81,5.38
2022,10.08,17.71,14.52,15.56,24.73,99.86,100.0,100.0,70.97,19.35,19.03,3.36
2023,18.28,88.24,55.38,24.86,24.33,0.97,1.75,0.27,1.67,3.36,2.36,4.84
2024,2.42,8.19,3.76,1.53,18.01,3.61,19.49,2.55,1.53,1.08,3.47,1.88
2025,1.48,0.6,0.0,,,,,,,,,
