Family,Coverage,Fragmented,Contiguous,Difference
climatological,100,0.025,0.025,0.000
climatological,95,0.019,0.018,0.001
climatological,90,0.022,0.018,0.004
climatological,85,0.000,0.014,-0.014
climatological,82,0.000,0.011,-0.011
climatological,75,0.000,0.006,-0.006
linear,100,0.061,0.061,0.000
linear,95,0.061,0.063,-0.002
linear,90,0.061,0.062,-0.001
linear,85,0.061,0.064,-0.003
linear,82,0.057,0.058,-0.002
linear,75,0.052,0.065,-0.013
sequence,100,0.090,0.090,0.000
sequence,95,0.095,0.102,-0.008
sequence,90,0.083,0.110,-0.027
sequence,85,0.061,0.089,-0.028
sequence,82,0.049,0.086,-0.037
sequence,75,0.041,0.085,-0.044
trees,100,0.037,0.037,0.000
trees,95,0.032,0.038,-0.006
trees,90,0.026,0.036,-0.010
trees,85,0.025,0.035,-0.010
trees,82,0.021,0.033,-0.012
trees,75,0.015,0.033,-0.017
