arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.75,climatological,climatology,0.00615223911714442,0.026125178807293876,96.69320470254414,15145.3,154.5,0.75,10
contiguous,0.75,climatological,persistence,0.0,0.0,97.29176691674544,15145.3,154.5,0.75,10
contiguous,0.75,linear,dlinear,0.06506703973037727,0.014116173992303388,90.96127965333497,15145.3,154.5,0.75,10
contiguous,0.75,linear,ridge,0.05632729105367744,0.01397521405228299,91.81158524449937,15145.3,154.5,0.75,10
contiguous,0.75,sequence,gru_h64_l2,0.0853482379660898,0.031187558382300206,88.98808604179371,15145.3,154.5,0.75,10
contiguous,0.75,sequence,lstm_h64_l1,0.07595279005862876,0.03556173189111696,89.90218576968483,15145.3,154.5,0.75,10
contiguous,0.75,trees,lightgbm,0.013658902235637548,0.02397457063011145,95.96286818409718,15145.3,154.5,0.75,10
contiguous,0.75,trees,random_forest,0.03253847260219389,0.015269429527980065,94.12604142450589,15145.3,154.5,0.75,10
contiguous,0.75,trees,xgboost,0.0239345757832633,0.024243086666816013,94.96312974838901,15145.3,154.5,0.75,10
contiguous,0.82,climatological,climatology,0.010807431444096372,0.016213551142370913,96.24029281571771,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,climatological,persistence,0.0,0.0,97.29176691674544,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,linear,dlinear,0.04556692017055728,0.03302124814739504,92.85848074039764,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,linear,ridge,0.05817603607602746,0.01153952275475247,91.63171757469641,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,sequence,gru_h64_l2,0.08646730807508055,0.024745844070364238,88.8792097335863,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,sequence,lstm_h64_l1,0.07095770701550373,0.03740585825754904,90.38816622484634,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,trees,lightgbm,0.012573853689466208,0.020954303280471306,96.06843447434464,16719.8,163.1,0.8199906052878807,10
contiguous,0.82,trees,random_forest,0.03304899843892042,0.01176210534452867,94.07637146379412,16719.8,163.1,0.8199906052878807,10
