hour_local,count,mean,median,std
0,1454,92.19,67.0,86.5
1,1451,90.8,66.0,87.07
2,1448,88.6,64.0,86.33
3,1446,85.83,63.0,81.46
4,1449,83.82,62.0,80.63
5,1452,81.02,59.0,79.2
6,1454,79.3,59.0,78.83
7,1449,78.63,58.0,76.01
8,1449,80.5,60.0,75.73
9,1452,81.4,59.0,76.13
10,1443,81.82,58.0,78.36
11,1422,80.92,55.0,79.86
12,1437,78.57,53.0,79.04
13,1442,78.3,53.0,80.17
14,1443,77.58,53.0,80.32
15,1432,76.44,50.0,79.49
16,1432,75.73,50.0,78.44
17,1433,77.39,52.0,79.29
18,1442,80.64,55.0,81.39
19,1451,84.95,58.0,84.62
20,1452,88.7,62.0,87.2
21,1450,91.68,64.0,88.17
22,1447,92.64,66.0,87.59
23,1452,93.09,67.0,87.46
