horizon_h,model,rmse,ci_low,ci_high,alpha,n_resamples,block_size_h
1,persistence,21.279188121902337,18.16584114638307,24.691821571798883,0.05,1000,24
1,seasonal_naive,96.00141972501197,84.73441122212243,108.83190903274422,0.05,1000,24
1,climatology,93.31867394934325,80.38444141641538,108.67843809251794,0.05,1000,24
1,sarimax,19.965284078132896,17.02828817345334,23.293966504352053,0.05,1000,24
1,ridge,21.84561685470854,18.195983135528664,25.929452358488334,0.05,1000,24
1,random_forest,20.160228120510855,16.879927603351803,23.902362743853462,0.05,1000,24
1,xgboost,20.143557421680647,16.955135318635076,23.8651431202551,0.05,1000,24
1,lightgbm,20.014522701934343,16.94355315223221,23.583438872914915,0.05,1000,24
1,lstm_h64_l1,20.24207051024131,17.238482430363778,23.57924390623871,0.05,1000,24
3,persistence,42.401818256050554,37.313317574493276,48.39467903156057,0.05,1000,24
3,seasonal_naive,96.07272516135325,84.88644405142865,108.97031105737013,0.05,1000,24
3,climatology,93.43292574837835,80.54972177988321,108.6735072490953,0.05,1000,24
3,sarimax,40.795409293404305,35.606650342617904,46.60053515177823,0.05,1000,24
3,ridge,41.61784866013055,35.42343157259748,48.72627172019105,0.05,1000,24
3,random_forest,42.254002724415436,35.80608361422669,49.623114374899345,0.05,1000,24
3,xgboost,44.51029321324225,35.83428429505198,54.72313895097584,0.05,1000,24
3,lightgbm,44.56646811709285,35.72184441345316,54.85712985091176,0.05,1000,24
3,lstm_h64_l1,40.07823028020252,35.02081699409798,45.50099043994807,0.05,1000,24
6,persistence,60.27394741981769,52.39092099590155,68.88408400236406,0.05,1000,24
6,seasonal_naive,96.24351977244618,84.80890405602283,108.68974695813296,0.05,1000,24
6,climatology,93.60657621241802,81.16948420505904,107.88963130562522,0.05,1000,24
6,sarimax,56.65704460884217,50.173283876038106,63.788982554410445,0.05,1000,24
6,ridge,57.52073149840838,50.176944555081306,65.44002736326809,0.05,1000,24
6,random_forest,61.71354858729473,51.29100258297901,73.8090818231626,0.05,1000,24
6,xgboost,62.678816736198016,50.62434465320764,75.97759488771717,0.05,1000,24
6,lightgbm,63.34765646903566,51.38991368391688,77.66066540042597,0.05,1000,24
6,lstm_h64_l1,56.7078811327028,50.10481333567348,64.45473354458039,0.05,1000,24
12,persistence,77.99956769836972,68.24158677848854,89.03028032322256,0.05,1000,24
12,seasonal_naive,96.62185310157582,85.41966769019716,109.09387562422243,0.05,1000,24
12,climatology,93.97858106629761,81.39985059657403,108.26011321049423,0.05,1000,24
12,sarimax,71.3014762889257,62.51456356430048,80.65314862607134,0.05,1000,24
12,ridge,76.02457096721739,64.44352960754853,88.6347119624438,0.05,1000,24
12,random_forest,78.75217337050731,64.90898581993935,93.90357451455516,0.05,1000,24
12,xgboost,75.75082240401578,62.797076155160994,89.61392194896713,0.05,1000,24
12,lightgbm,79.14755011044403,64.73936507079581,94.38709501960854,0.05,1000,24
12,lstm_h64_l1,69.79395356160299,59.89870062286754,80.67815038889533,0.05,1000,24
24,persistence,97.29176691674544,85.32720114760598,109.72268015771469,0.05,1000,24
24,seasonal_naive,97.29176691674544,85.32720114760598,109.72268015771469,0.05,1000,24
24,climatology,94.90594771582433,82.38761374478011,108.5753996115254,0.05,1000,24
24,sarimax,85.14895838787793,74.29240506487659,97.7170458793217,0.05,1000,24
24,ridge,91.36330719315524,76.39997394270162,107.5328325488507,0.05,1000,24
24,random_forest,93.72705358025209,77.0678098990441,111.57687082388426,0.05,1000,24
24,xgboost,93.56847311156665,77.3714672008278,110.96759798270867,0.05,1000,24
24,lightgbm,94.17128377333772,77.06793485855634,111.93885236771331,0.05,1000,24
24,gru_h32_l1,91.05128821964745,74.96421334989573,108.34208118164382,0.05,1000,24
