Family,Donor,95%,90%,85%,82%,75%
sequence,Wanliu,-0.008,-0.027,-0.030,-0.037,-0.095
sequence,Dingling,-0.013,-0.013,-0.013,-0.014,-0.047
sequence,Dongsi,-0.016,-0.017,-0.037,-0.025,-0.042
trees,Wanliu,-0.008,-0.019,-0.030,-0.032,-0.042
trees,Dingling,-0.007,-0.010,-0.011,-0.010,-0.021
trees,Dongsi,-0.009,-0.029,-0.028,-0.031,0.007
linear,Wanliu,-0.002,-0.001,0.001,-0.002,-0.004
linear,Dingling,-0.007,-0.012,-0.018,-0.018,-0.094
linear,Dongsi,-0.015,-0.007,-0.040,-0.011,-0.030
climatological,Wanliu,0.001,0.003,-0.035,-0.051,-0.096
climatological,Dingling,-0.003,0.018,-0.003,-0.022,-0.004
climatological,Dongsi,-0.007,-0.013,-0.019,-0.028,-0.037
