Model,Window (h),RMSE@24h,Skill,Params,MACs,Latency (ms),Train kWh,gCO2e (BD)
lstm_h64_l2,168,88.710,0.088,74817,"12,730,432",0.348,1.582e-04,0.1101
lstm_h64_l2,48,88.810,0.087,74817,"3,637,312",0.317,9.191e-05,0.0640
lstm_h64_l2,24,89.800,0.077,74817,"1,818,688",0.292,8.232e-05,0.0573
gru_h64_l2,24,90.080,0.074,56129,"1,367,104",0.291,8.005e-05,0.0557
gru_h64_l2,48,90.770,0.067,56129,"2,734,144",0.284,9.388e-05,0.0654
gru_h64_l2,168,90.820,0.067,56129,"9,569,344",0.303,1.638e-04,0.1140
lstm_h32_l1,24,91.140,0.063,16673,"405,536",0.265,7.126e-05,0.0496
lstm_h32_l1,48,91.410,0.060,16673,"811,040",0.265,8.199e-05,0.0571
lstm_h64_l1,168,91.550,0.059,41537,"7,053,376",0.267,1.142e-04,0.0795
gru_h128_l1,168,91.800,0.056,86913,"14,730,368",0.284,1.736e-04,0.1209
gru_h128_l1,48,92.030,0.054,86913,"4,208,768",0.296,8.385e-05,0.0584
lstm_h64_l1,24,92.140,0.053,41537,"1,007,680",0.274,6.786e-05,0.0472
lstm_h64_l1,48,92.880,0.045,41537,"2,015,296",0.269,7.303e-05,0.0508
gru_h32_l2,168,93.000,0.044,18849,"3,236,384",0.294,1.364e-04,0.0950
gru_h32_l1,48,93.220,0.042,12513,"609,824",0.250,8.936e-05,0.0622
gru_h128_l1,24,93.860,0.035,86913,"2,104,448",0.300,7.180e-05,0.0500
lstm_h32_l2,48,93.960,0.034,25121,"1,228,832",0.307,8.803e-05,0.0613
lstm_h32_l2,24,94.080,0.033,25121,"614,432",0.333,7.862e-05,0.0547
lstm_h32_l2,168,94.260,0.031,25121,"4,300,832",0.305,1.249e-04,0.0869
gru_h32_l2,24,94.270,0.031,18849,"462,368",0.296,1.038e-04,0.0723
gru_h32_l1,168,94.380,0.030,12513,"2,134,304",0.250,1.189e-04,0.0828
gru_h64_l1,48,94.840,0.025,31169,"1,514,560",0.260,7.708e-05,0.0537
gru_h64_l1,168,95.060,0.023,31169,"5,300,800",0.263,1.293e-04,0.0900
gru_h32_l2,48,95.260,0.021,18849,"924,704",0.278,1.101e-04,0.0766
lstm_h32_l1,168,95.270,0.021,16673,"2,838,560",0.270,1.301e-04,0.0906
gru_h64_l1,24,95.810,0.015,31169,"757,312",0.250,7.666e-05,0.0534
gru_h32_l1,24,96.240,0.011,12513,"304,928",0.232,8.548e-05,0.0595
