model,arm,policy,availability,rmse_served,rmse_all_hours,skill_all_hours,fallback_share
climatology,A24,single,0.9652,92.6193,92.3367,0.0493,
climatology,A48,single,0.9305,91.1186,92.9070,0.0434,
climatology,B24,single,0.7890,94.8247,95.1810,0.0200,
climatology,B48,single,0.7890,94.8247,95.1810,0.0200,
climatology,C,single,0.7890,94.8247,95.1810,0.0200,
climatology,cascade,cascade,1.0000,94.8247,92.3360,0.0493,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
dlinear_w24,A24,single,0.9652,89.2207,89.0480,0.0832,
dlinear_w24,A48,single,0.9305,82.8391,85.3907,0.1208,
dlinear_w24,B24,single,0.7890,95.4296,95.6568,0.0151,
dlinear_w24,B48,single,0.7890,95.4296,95.6568,0.0151,
dlinear_w24,C,single,0.7890,95.4296,95.6568,0.0151,
dlinear_w24,cascade,cascade,1.0000,95.4296,93.1806,0.0406,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
dlinear_w48,A24,single,0.9319,87.4516,89.6165,0.0773,
dlinear_w48,A48,single,0.9305,84.9336,87.2842,0.1013,
dlinear_w48,B24,single,0.7890,93.3754,94.0438,0.0317,
dlinear_w48,B48,single,0.7890,93.3754,94.0438,0.0317,
dlinear_w48,C,single,0.7890,93.3754,94.0438,0.0317,
dlinear_w48,cascade,cascade,1.0000,93.3754,91.3829,0.0591,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0014, ""persistence"": 0.0681}"
gru_h64_l2_w24,A24,single,0.9652,82.9934,83.0325,0.1451,
gru_h64_l2_w24,A48,single,0.9305,83.1072,85.6327,0.1183,
gru_h64_l2_w24,B24,single,0.7890,83.8993,86.7116,0.1072,
gru_h64_l2_w24,B48,single,0.7890,83.8993,86.7116,0.1072,
gru_h64_l2_w24,C,single,0.7890,83.8993,86.7116,0.1072,
gru_h64_l2_w24,cascade,cascade,1.0000,83.8993,82.6613,0.1489,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
gru_h64_l2_w48,A24,single,0.9319,82.9653,85.5489,0.1192,
gru_h64_l2_w48,A48,single,0.9305,84.5742,86.9589,0.1047,
gru_h64_l2_w48,B24,single,0.7890,86.1028,88.3993,0.0898,
gru_h64_l2_w48,B48,single,0.7890,86.1028,88.3993,0.0898,
gru_h64_l2_w48,C,single,0.7890,86.1028,88.3993,0.0898,
gru_h64_l2_w48,cascade,cascade,1.0000,86.1028,85.4630,0.1201,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0014, ""persistence"": 0.0681}"
lightgbm,A24,single,0.9652,88.7408,88.5839,0.0879,
lightgbm,A48,single,0.9305,87.3565,89.4816,0.0787,
lightgbm,B24,single,0.7890,91.4201,92.5157,0.0475,
lightgbm,B48,single,0.7890,93.5580,94.1868,0.0303,
lightgbm,C,single,0.7890,94.1713,94.6678,0.0253,
lightgbm,cascade,cascade,1.0000,94.1713,91.3035,0.0599,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
lstm_h64_l1_w24,A24,single,0.9652,85.8646,85.8042,0.1166,
lstm_h64_l1_w24,A48,single,0.9305,84.2513,86.6667,0.1077,
lstm_h64_l1_w24,B24,single,0.7890,87.3909,89.3910,0.0796,
lstm_h64_l1_w24,B48,single,0.7890,87.3909,89.3910,0.0796,
lstm_h64_l1_w24,C,single,0.7890,87.3909,89.3910,0.0796,
lstm_h64_l1_w24,cascade,cascade,1.0000,87.3909,85.5739,0.1189,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
lstm_h64_l1_w48,A24,single,0.9319,86.3331,88.6001,0.0878,
lstm_h64_l1_w48,A48,single,0.9305,84.0169,86.4547,0.1099,
lstm_h64_l1_w48,B24,single,0.7890,89.8425,91.2883,0.0601,
lstm_h64_l1_w48,B48,single,0.7890,89.8425,91.2883,0.0601,
lstm_h64_l1_w48,C,single,0.7890,89.8425,91.2883,0.0601,
lstm_h64_l1_w48,cascade,cascade,1.0000,89.8425,87.9586,0.0944,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0014, ""persistence"": 0.0681}"
persistence,A24,single,0.9652,97.5618,97.1255,0.0000,
persistence,A48,single,0.9305,95.7295,97.1255,0.0000,
persistence,B24,single,0.7890,97.2918,97.1255,0.0000,
persistence,B48,single,0.7890,97.2918,97.1255,0.0000,
persistence,C,single,0.7890,97.2918,97.1255,0.0000,
persistence,cascade,cascade,1.0000,97.2918,97.1255,0.0000,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
random_forest,A24,single,0.9652,89.5468,89.3634,0.0799,
random_forest,A48,single,0.9305,87.0433,89.1971,0.0816,
random_forest,B24,single,0.7890,92.4987,93.3578,0.0388,
random_forest,B48,single,0.7890,93.2051,93.9104,0.0331,
random_forest,C,single,0.7890,93.7271,94.3194,0.0289,
random_forest,cascade,cascade,1.0000,93.7271,91.6098,0.0568,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
ridge,A24,single,0.9652,88.9122,88.7496,0.0862,
ridge,A48,single,0.9305,86.7993,88.9756,0.0839,
ridge,B24,single,0.7890,91.0511,92.2282,0.0504,
ridge,B48,single,0.7890,91.1844,92.3320,0.0494,
ridge,C,single,0.7890,91.3633,92.4715,0.0479,
ridge,cascade,cascade,1.0000,91.3633,89.5384,0.0781,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
xgboost,A24,single,0.9652,86.8288,86.7357,0.1070,
xgboost,A48,single,0.9305,85.2897,87.6067,0.0980,
xgboost,B24,single,0.7890,92.5537,93.4007,0.0383,
xgboost,B48,single,0.7890,91.9113,92.8989,0.0435,
xgboost,C,single,0.7890,93.7249,94.3177,0.0289,
xgboost,cascade,cascade,1.0000,93.7249,91.2395,0.0606,"{""C"": 0.789, ""B48"": 0.0, ""B24"": 0.0, ""A48"": 0.1415, ""A24"": 0.0348, ""persistence"": 0.0348}"
