model,arm,lookback_h,n_common,rmse_common,ci_low,ci_high
climatology,A24,24.0000,3813,94.8393,82.2201,108.6061
climatology,A48,48.0000,3813,94.7823,82.1690,108.4174
climatology,B24,24.0000,3813,94.8247,82.3140,108.4388
climatology,B48,48.0000,3813,94.8247,82.3140,108.4388
climatology,C,,3813,94.8247,82.3140,108.4388
dlinear_w24,A24,24.0000,3813,90.4437,75.7567,105.5691
dlinear_w24,A48,48.0000,3813,85.7439,73.0178,98.6853
dlinear_w24,B24,24.0000,3813,95.4296,80.0941,111.3311
dlinear_w24,B48,48.0000,3813,95.4296,80.0941,111.3311
dlinear_w24,C,,3813,95.4296,80.0941,111.3311
dlinear_w48,A24,24.0000,3813,91.4217,76.7426,106.6866
dlinear_w48,A48,48.0000,3813,88.3288,74.1960,102.9146
dlinear_w48,B24,24.0000,3813,93.3754,78.1487,109.3365
dlinear_w48,B48,48.0000,3813,93.3754,78.1487,109.3365
dlinear_w48,C,,3813,93.3754,78.1487,109.3365
gru_h64_l2_w24,A24,24.0000,3813,84.7415,70.9816,99.2088
gru_h64_l2_w24,A48,48.0000,3813,86.7574,72.2286,102.2376
gru_h64_l2_w24,B24,24.0000,3813,83.8993,70.8341,97.6674
gru_h64_l2_w24,B48,48.0000,3813,83.8993,70.8341,97.6674
gru_h64_l2_w24,C,,3813,83.8993,70.8341,97.6674
gru_h64_l2_w48,A24,24.0000,3813,86.7115,72.2560,101.9806
gru_h64_l2_w48,A48,48.0000,3813,88.0353,72.7657,104.5096
gru_h64_l2_w48,B24,24.0000,3813,86.1028,72.0954,100.7854
gru_h64_l2_w48,B48,48.0000,3813,86.1028,72.0954,100.7854
gru_h64_l2_w48,C,,3813,86.1028,72.0954,100.7854
lightgbm,A24,24.0000,3813,90.4552,75.0761,107.0572
lightgbm,A48,48.0000,3813,91.4698,75.8222,108.9981
lightgbm,B24,24.0000,3813,91.4201,75.3498,108.6974
lightgbm,B48,48.0000,3813,93.5580,76.5312,111.3897
lightgbm,C,,3813,94.1713,77.0679,111.9389
lstm_h64_l1_w24,A24,24.0000,3813,87.5280,73.2220,102.5601
lstm_h64_l1_w24,A48,48.0000,3813,88.3471,73.8438,103.8678
lstm_h64_l1_w24,B24,24.0000,3813,87.3909,73.1328,102.6130
lstm_h64_l1_w24,B48,48.0000,3813,87.3909,73.1328,102.6130
lstm_h64_l1_w24,C,,3813,87.3909,73.1328,102.6130
lstm_h64_l1_w48,A24,24.0000,3813,90.2507,75.3484,105.4753
lstm_h64_l1_w48,A48,48.0000,3813,88.0290,72.8702,103.6786
lstm_h64_l1_w48,B24,24.0000,3813,89.8425,75.1927,105.3771
lstm_h64_l1_w48,B48,48.0000,3813,89.8425,75.1927,105.3771
lstm_h64_l1_w48,C,,3813,89.8425,75.1927,105.3771
persistence,A24,24.0000,3813,97.2918,85.3272,109.7227
persistence,A48,48.0000,3813,97.2918,85.3272,109.7227
persistence,B24,24.0000,3813,97.2918,85.3272,109.7227
persistence,B48,48.0000,3813,97.2918,85.3272,109.7227
persistence,C,,3813,97.2918,85.3272,109.7227
random_forest,A24,24.0000,3813,90.8582,75.7522,107.7899
random_forest,A48,48.0000,3813,90.8582,75.3057,107.8229
random_forest,B24,24.0000,3813,92.4987,76.0199,109.9918
random_forest,B48,48.0000,3813,93.2051,76.5850,110.9651
random_forest,C,,3813,93.7271,77.0678,111.5769
ridge,A24,24.0000,3813,90.4149,75.7111,105.6260
ridge,A48,48.0000,3813,90.6722,75.8984,106.0184
ridge,B24,24.0000,3813,91.0511,76.1239,106.5656
ridge,B48,48.0000,3813,91.1844,76.3210,106.8637
ridge,C,,3813,91.3633,76.4000,107.5328
xgboost,A24,24.0000,3813,88.2283,73.8749,103.3165
xgboost,A48,48.0000,3813,88.9310,74.4271,104.6570
xgboost,B24,24.0000,3813,92.5537,76.9450,109.9131
xgboost,B48,48.0000,3813,91.9113,76.5065,108.8907
xgboost,C,,3813,93.7249,77.4406,110.9876
