horizon_h,model,in_confidence_set,mcs_p_value,mean_squared_loss
1,lstm_h64_l1,True,0.098,409.84469317907184
1,persistence,True,0.098,452.91746835443035
1,seasonal_naive,False,0.0,9218.593417721519
1,climatology,False,0.0,8710.342506374642
1,sarimax,True,0.098,398.6125683205468
1,ridge,True,0.098,477.35053248152224
1,random_forest,True,0.098,406.53763084717355
1,xgboost,True,0.098,405.86345878660904
1,lightgbm,True,0.098,400.68144691696057
3,lstm_h64_l1,True,0.582,1607.2880416934079
3,persistence,True,0.582,1799.2233231707316
3,seasonal_naive,False,0.0,9236.977896341463
3,climatology,False,0.0,8736.002070137092
3,sarimax,True,0.582,1664.2654194163788
3,ridge,True,0.582,1733.299022479601
3,random_forest,True,0.582,1786.7457430344755
3,xgboost,True,0.582,1982.661774240766
3,lightgbm,True,0.582,1987.660995109808
6,lstm_h64_l1,True,0.48,3219.359132685376
6,persistence,True,0.48,3638.220178799489
6,seasonal_naive,False,0.0,9276.576245210728
6,climatology,False,0.0,8775.452590458284
6,sarimax,True,0.48,3210.020703808325
6,ridge,True,0.48,3313.0078333748384
6,random_forest,True,0.48,3814.2182262600923
6,xgboost,True,0.48,3934.3195270861893
6,lightgbm,True,0.48,4018.8668979979248
12,lstm_h64_l1,True,0.346,4884.589490657248
12,persistence,True,0.346,6101.8626387813065
12,seasonal_naive,False,0.004,9363.40640330493
12,climatology,False,0.0,8858.675687529114
12,sarimax,True,0.346,5083.900520980238
12,ridge,True,0.346,5796.038474777186
12,random_forest,True,0.346,6220.405691134048
12,xgboost,True,0.346,5755.095419247838
12,lightgbm,True,0.346,6283.094774481182
24,gru_h32_l1,True,0.758,8325.702785804177
24,persistence,True,0.758,9513.791237793614
24,seasonal_naive,True,0.758,9513.791237793614
24,climatology,True,0.758,9055.412903506258
24,sarimax,True,0.758,7250.345114540575
24,ridge,True,0.758,8389.472433116329
24,random_forest,True,0.758,8830.311180504737
24,xgboost,True,0.758,8799.446190815075
24,lightgbm,True,0.758,8912.162755006657
