model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l1,24,1,42,12513,25.613859705524916,12.359071464466858,0.9257712794601226,21.11687783578019,-2.9986349854298266,3951,-0.20370474469187894
gru_h32_l1,24,1,1337,12513,29.498344327483895,14.255279223007038,0.9015496638358479,22.56954042793538,-7.299237226258817,3951,-0.3862532798947207
gru_h32_l1,24,1,2024,12513,28.33302680858241,14.007887927268385,0.9091744854323971,22.454955160673205,-7.038286037464891,3951,-0.33149002895555335
gru_h32_l1,24,1,7,12513,30.251646392156424,13.991912282368048,0.8964571886457089,21.741098883163893,-5.332959839710116,3951,-0.42165416362943264
gru_h32_l1,24,1,31415,12513,27.697951345998458,13.343414749046708,0.9132005010877497,21.774904588703432,-6.046875223975632,3951,-0.3016451185696032
gru_h32_l1,24,3,42,12513,50.22492961743443,27.51093960046136,0.7151345888980751,36.96882409345614,-15.339279210173256,3939,-0.1844994314664219
gru_h32_l1,24,3,1337,12513,48.91748558384202,27.156697050538465,0.7297726531123956,36.77954091646851,-14.082092420751838,3939,-0.15366480957126671
gru_h32_l1,24,3,2024,12513,49.40519319028426,26.764058238401894,0.7243574559034875,36.22215542953608,-11.048485670085721,3939,-0.16516685421230393
gru_h32_l1,24,3,7,12513,44.87408224632232,25.01351558095501,0.7725990864228568,35.48400415695068,-9.125822726622374,3939,-0.05830561263534917
gru_h32_l1,24,3,31415,12513,47.47345243237354,26.064143504494705,0.7454912731577692,35.60147824772697,-11.335911596714702,3939,-0.11960888435720052
gru_h32_l1,24,6,42,12513,61.439030603590346,36.026604762804354,0.5751936718558377,48.544347040977954,-15.521857468083818,3921,-0.019329797261454784
gru_h32_l1,24,6,1337,12513,62.17918911647324,36.436119220671046,0.5648967008097232,47.98675625781803,-12.965397548845809,3921,-0.03160970499219573
gru_h32_l1,24,6,2024,12513,63.112750818635135,36.830999398302815,0.5517332901868844,49.447484322677546,-17.089771115834207,3921,-0.04709834879479069
gru_h32_l1,24,6,7,12513,62.19018029923443,36.27117647725567,0.5647428640478103,48.20248334963275,-13.46567169515119,3921,-0.03179205878237701
gru_h32_l1,24,6,31415,12513,60.33375540128593,35.96974240636266,0.5903405432097668,48.31250555519998,-12.272996789741162,3921,-0.000992269198027973
gru_h32_l1,24,12,42,12513,77.64433709057238,48.510456849069335,0.326739879953742,63.52478397360281,-18.683687246022455,3885,0.004554263802730829
gru_h32_l1,24,12,1337,12513,76.44061911232926,47.807285030806845,0.34745313265860744,61.112599710150896,-17.136864239682325,3885,0.019986631106329145
gru_h32_l1,24,12,2024,12513,77.74567714148304,49.54367163026043,0.32498127803774723,63.98145871179742,-23.038523313987476,3885,0.0032550251799918772
gru_h32_l1,24,12,7,12513,76.49710305480973,48.643530364650616,0.3464884089824579,62.61521732521697,-15.795343932975769,3885,0.019262473984088424
