model,horizon_h,stratum,group,n,rmse,mae,r2,smape,bias,reference_rmse,skill_vs_persistence
persistence,1,overall,all,3951,21.279188121902337,10.627182991647684,0.9487690947426889,19.665697740010064,0.047076689445709946,21.279188121902337,0.0
persistence,1,season,monsoon (wet),985,12.168946081356614,7.472081218274112,0.9231184712925676,17.778237554469072,0.028426395939086295,12.168946081356614,0.0
persistence,1,season,dry,2966,23.537218916193847,11.674983142279164,0.9481173238134237,20.292517794884592,0.053270397842211735,23.537218916193847,0.0
persistence,1,pollution,observed > 65 ug/m3,1836,25.123204040560125,15.10239651416122,0.9283429906758135,10.637509947575506,-2.1884531590413943,25.123204040560125,0.0
persistence,1,pollution,observed <= 65 ug/m3,2115,17.261580893443636,6.742316784869977,0.10053757120579698,27.502933100251127,1.9877068557919622,17.261580893443636,0.0
persistence,1,pollution,observed > 35 ug/m3,2458,24.81616707084066,13.770545158665582,0.9310177341126943,12.217752346411517,-1.0545158665581773,24.81616707084066,0.0
persistence,1,pollution,observed <= 35 ug/m3,1493,13.578873311209419,5.452109845947756,-1.1895102210265125,31.927619895043698,1.8606831882116543,13.578873311209419,0.0
seasonal_naive,1,overall,all,3951,96.00141972501197,66.27157681599596,-0.04274288047518526,85.7597700025722,0.22854973424449507,21.279188121902337,-3.51151703603763
seasonal_naive,1,season,monsoon (wet),985,49.99206028331457,37.51065989847716,-0.29753220911959977,71.18909045965987,-1.2954314720812183,12.168946081356614,-3.108166800073567
seasonal_naive,1,season,dry,2966,106.99061125552441,75.8229939312205,-0.07202129808217594,90.59865043068032,0.7346594740391099,23.537218916193847,-3.5455927327894194
seasonal_naive,1,pollution,observed > 65 ug/m3,1836,99.35595708939815,76.88289760348584,-0.12071826495771121,68.43796767889194,-48.130174291939,25.123204040560125,-2.9547486430868073
seasonal_naive,1,pollution,observed <= 65 ug/m3,2115,92.99132881103782,57.060047281323875,-25.103984258400214,100.79656861546913,42.2080378250591,17.261580893443636,-4.387184950502313
seasonal_naive,1,pollution,observed > 35 ug/m3,2458,91.18987424695212,68.32709519934906,0.06854628168628252,71.52923571417523,-34.205044751830755,24.81616707084066,-2.6746155837297487
seasonal_naive,1,pollution,observed <= 35 ug/m3,1493,103.43648209018697,62.887474882786336,-126.0477526654833,109.18820488594778,56.91828533154722,13.578873311209419,-6.617456892008832
climatology,1,overall,all,3951,93.31867394934325,70.2059632638392,0.014721423702401704,83.76405870571828,5.7935551891554296,21.279188121902337,-3.3854433456176736
climatology,1,season,monsoon (wet),985,43.5824531094852,36.07782137481516,0.01385808209656314,67.77895757287034,5.79709629469424,12.168946081356614,-2.5814484523237002
climatology,1,season,dry,2966,104.73588542629497,81.53982022968164,-0.027313731940113106,89.07266444268903,5.792379198273527,23.537218916193847,-3.4497986698944967
climatology,1,pollution,observed > 65 ug/m3,1836,111.4785235320729,74.88558182113925,-0.41088313986304126,48.10097897089076,-63.57274673991777,25.123204040560125,-3.43727334109521
climatology,1,pollution,observed <= 65 ug/m3,2115,74.02628911552726,66.14365609069361,-15.54222218407784,114.72264707127069,66.00940877864876,17.261580893443636,-3.2884999683687273
climatology,1,pollution,observed > 35 ug/m3,2458,99.05268952153408,65.53826835876683,-0.09900733621776237,48.97320189494972,-37.99851939675617,24.81616707084066,-2.9914580377693523
climatology,1,pollution,observed <= 35 ug/m3,1493,83.02018931986791,77.89062105129256,-80.8440181191289,141.0419729996695,77.89062105129256,13.578873311209419,-5.113923255424615
sarimax,1,overall,all,3950,19.965284078132896,10.217000032890379,0.954909086147863,20.893845055482014,-0.24655192863208034,21.279188121902337,0.06174596682178202
sarimax,1,season,monsoon (wet),984,11.542894488420956,7.2622185174995195,0.9308890025454813,18.224802924612337,0.780530550823023,12.168946081356614,0.05144665682222049
sarimax,1,season,dry,2966,22.060214951751714,11.19727818904163,0.954424488040175,21.779326328838646,-0.5872967566104423,23.537218916193847,0.06275184717876503
sarimax,1,pollution,observed > 65 ug/m3,1836,23.4315635257436,14.10844697041704,0.9376679851877255,9.914691555211672,-4.2394232107525935,25.123204040560125,0.06733378879881169
sarimax,1,pollution,observed <= 65 ug/m3,2114,16.369745701003893,6.837294934830329,0.1911203778670748,30.429193128564492,3.221239780910617,17.261580893443636,0.05166590464367504
sarimax,1,pollution,observed > 35 ug/m3,2457,23.172615540188378,12.913031650435045,0.9398545715070222,11.503086032027015,-2.4297021651839974,24.81616707084066,0.06622906454331046
sarimax,1,pollution,observed <= 35 ug/m3,1493,13.073650973183844,5.78019515391701,-1.0296131913856277,36.34802785563536,3.346214401714913,13.578873311209419,0.03720649912894558
