Model,Tier,h (hours),RMSE,MAE,R2,sMAPE,Skill
persistence,tier1,1,21.280,10.630,0.949,19.670,0.000
seasonal_naive,tier1,1,96.000,66.270,-0.043,85.760,-3.511
climatology,tier1,1,93.320,70.210,0.015,83.760,-3.385
sarimax,tier1,1,19.970,10.220,0.955,20.890,0.062
ridge,tier2,1,92.460,34.650,0.033,36.190,-3.345
random_forest,tier2,1,20.160,10.150,0.954,18.590,0.053
xgboost,tier2,1,20.140,10.250,0.954,18.450,0.053
lightgbm,tier2,1,20.010,10.180,0.955,18.270,0.059
persistence,tier1,3,42.400,22.800,0.797,34.070,0.000
seasonal_naive,tier1,3,96.070,66.330,-0.042,85.820,-1.266
climatology,tier1,3,93.430,70.310,0.014,83.840,-1.204
sarimax,tier1,3,40.800,23.070,0.812,37.730,0.038
ridge,tier2,3,90.830,38.970,0.068,43.410,-1.142
random_forest,tier2,3,42.250,22.810,0.798,31.890,0.004
xgboost,tier2,3,44.510,23.050,0.776,31.540,-0.050
lightgbm,tier2,3,44.570,23.030,0.776,31.460,-0.051
persistence,tier1,6,60.270,34.930,0.591,48.820,0.000
seasonal_naive,tier1,6,96.240,66.480,-0.042,85.850,-0.597
climatology,tier1,6,93.610,70.480,0.014,83.940,-0.553
sarimax,tier1,6,56.660,35.370,0.639,52.800,0.060
ridge,tier2,6,82.470,42.850,0.235,52.060,-0.368
random_forest,tier2,6,61.710,35.480,0.571,45.770,-0.024
xgboost,tier2,6,62.680,35.030,0.558,44.990,-0.040
lightgbm,tier2,6,63.350,35.660,0.548,45.610,-0.051
persistence,tier1,12,78.000,48.950,0.321,65.320,0.000
seasonal_naive,tier1,12,96.620,66.820,-0.043,85.920,-0.239
climatology,tier1,12,93.980,70.860,0.014,84.270,-0.205
sarimax,tier1,12,71.300,49.430,0.434,67.790,0.086
ridge,tier2,12,75.830,49.640,0.358,64.820,0.028
random_forest,tier2,12,78.750,48.580,0.307,61.720,-0.010
xgboost,tier2,12,75.750,47.090,0.359,60.680,0.029
lightgbm,tier2,12,79.150,48.380,0.300,61.690,-0.015
persistence,tier1,24,97.290,67.280,-0.040,85.890,0.000
seasonal_naive,tier1,24,97.290,67.280,-0.040,85.890,0.000
climatology,tier1,24,94.910,71.800,0.010,85.110,0.025
sarimax,tier1,24,85.150,62.630,0.207,79.840,0.125
ridge,tier2,24,90.320,60.770,0.103,79.500,0.072
random_forest,tier2,24,93.730,60.620,0.034,78.680,0.037
xgboost,tier2,24,93.570,60.570,0.038,78.360,0.038
lightgbm,tier2,24,94.170,59.620,0.025,77.630,0.032
