Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h64_l1,24,1,41537,5,21.46 ± 1.06,11.29 ± 0.66,0.948 ± 0.005,-0.0083 ± 0.0500
lstm_h64_l1,168,1,41537,5,21.46 ± 0.84,11.26 ± 0.42,0.948 ± 0.004,-0.0085 ± 0.0396
lstm_h64_l1,48,1,41537,5,21.79 ± 1.39,11.54 ± 0.92,0.946 ± 0.007,-0.0238 ± 0.0655
gru_h128_l1,48,1,86913,5,23.32 ± 1.29,11.88 ± 0.48,0.938 ± 0.007,-0.0959 ± 0.0604
gru_h128_l1,24,1,86913,5,23.49 ± 1.67,11.99 ± 0.84,0.937 ± 0.009,-0.1038 ± 0.0786
lstm_h64_l2,168,1,74817,5,23.72 ± 1.48,12.03 ± 0.57,0.936 ± 0.008,-0.1146 ± 0.0698
lstm_h64_l2,48,1,74817,5,23.73 ± 1.21,11.92 ± 0.31,0.936 ± 0.007,-0.1153 ± 0.0566
gru_h64_l2,48,1,56129,5,24.31 ± 1.10,12.15 ± 0.38,0.933 ± 0.006,-0.1426 ± 0.0519
lstm_h64_l2,24,1,74817,5,24.57 ± 2.12,12.57 ± 1.23,0.931 ± 0.012,-0.1546 ± 0.0994
gru_h128_l1,168,1,86913,5,24.58 ± 1.85,12.49 ± 0.76,0.931 ± 0.011,-0.1552 ± 0.0868
gru_h64_l2,24,1,56129,5,24.67 ± 1.31,12.36 ± 0.61,0.931 ± 0.007,-0.1593 ± 0.0615
gru_h64_l1,48,1,31169,5,24.94 ± 1.70,12.38 ± 0.74,0.929 ± 0.010,-0.1721 ± 0.0800
gru_h64_l2,168,1,56129,5,25.27 ± 0.24,12.58 ± 0.24,0.928 ± 0.001,-0.1876 ± 0.0112
lstm_h32_l1,48,1,16673,5,25.47 ± 0.63,12.30 ± 0.25,0.927 ± 0.004,-0.1972 ± 0.0296
gru_h32_l2,48,1,18849,5,25.59 ± 0.43,12.68 ± 0.10,0.926 ± 0.002,-0.2025 ± 0.0203
lstm_h32_l1,24,1,16673,5,25.82 ± 1.47,12.46 ± 0.42,0.924 ± 0.009,-0.2134 ± 0.0689
gru_h32_l2,24,1,18849,5,26.13 ± 0.98,12.82 ± 0.28,0.923 ± 0.006,-0.2280 ± 0.0462
lstm_h32_l1,168,1,16673,5,26.51 ± 2.20,12.68 ± 0.64,0.920 ± 0.014,-0.2460 ± 0.1036
gru_h32_l2,168,1,18849,5,26.52 ± 0.46,12.94 ± 0.20,0.920 ± 0.003,-0.2465 ± 0.0216
gru_h64_l1,24,1,31169,5,26.94 ± 1.98,12.95 ± 0.68,0.918 ± 0.012,-0.2660 ± 0.0931
lstm_h32_l2,48,1,25121,5,27.14 ± 3.06,13.49 ± 1.18,0.916 ± 0.018,-0.2753 ± 0.1436
lstm_h32_l2,168,1,25121,5,27.27 ± 2.46,13.32 ± 1.14,0.915 ± 0.015,-0.2816 ± 0.1155
lstm_h32_l2,24,1,25121,5,27.42 ± 1.09,13.31 ± 0.34,0.915 ± 0.007,-0.2886 ± 0.0511
gru_h64_l1,168,1,31169,5,27.46 ± 2.21,13.32 ± 1.00,0.914 ± 0.014,-0.2905 ± 0.1038
gru_h32_l1,48,1,12513,5,27.63 ± 1.73,13.31 ± 0.60,0.913 ± 0.011,-0.2987 ± 0.0812
gru_h32_l1,24,1,12513,5,28.28 ± 1.79,13.59 ± 0.77,0.909 ± 0.011,-0.3289 ± 0.0841
gru_h32_l1,168,1,12513,5,30.79 ± 0.84,14.58 ± 0.22,0.893 ± 0.006,-0.4468 ± 0.0396
lstm_h64_l1,24,3,41537,5,41.59 ± 0.67,23.34 ± 0.54,0.805 ± 0.006,0.0192 ± 0.0159
gru_h128_l1,24,3,86913,5,41.82 ± 0.64,23.58 ± 0.45,0.802 ± 0.006,0.0138 ± 0.0151
lstm_h64_l1,48,3,41537,5,42.01 ± 1.16,23.49 ± 0.76,0.801 ± 0.011,0.0092 ± 0.0274
gru_h128_l1,168,3,86913,5,42.09 ± 1.38,23.56 ± 0.94,0.800 ± 0.013,0.0074 ± 0.0325
lstm_h64_l1,168,3,41537,5,42.11 ± 1.19,23.76 ± 0.94,0.800 ± 0.011,0.0069 ± 0.0281
gru_h128_l1,48,3,86913,5,42.34 ± 1.49,23.77 ± 0.88,0.797 ± 0.014,0.0015 ± 0.0351
lstm_h64_l2,24,3,74817,5,42.36 ± 0.70,23.66 ± 0.38,0.797 ± 0.007,0.0009 ± 0.0166
lstm_h64_l2,168,3,74817,5,42.48 ± 0.97,23.65 ± 0.60,0.796 ± 0.009,-0.0019 ± 0.0229
lstm_h64_l2,48,3,74817,5,42.55 ± 0.77,23.90 ± 0.59,0.795 ± 0.007,-0.0035 ± 0.0182
gru_h64_l2,24,3,56129,5,43.36 ± 0.86,23.82 ± 0.23,0.788 ± 0.009,-0.0226 ± 0.0203
lstm_h32_l1,48,3,16673,5,43.40 ± 0.36,24.01 ± 0.24,0.787 ± 0.004,-0.0235 ± 0.0085
lstm_h32_l1,24,3,16673,5,44.06 ± 0.92,24.14 ± 0.56,0.781 ± 0.009,-0.0391 ± 0.0216
gru_h64_l1,48,3,31169,5,44.13 ± 1.45,24.46 ± 0.53,0.780 ± 0.014,-0.0408 ± 0.0342
gru_h64_l1,24,3,31169,5,44.19 ± 1.26,24.39 ± 0.72,0.779 ± 0.013,-0.0422 ± 0.0298
lstm_h32_l1,168,3,16673,5,44.39 ± 0.83,24.47 ± 0.35,0.777 ± 0.008,-0.0470 ± 0.0195
gru_h64_l2,168,3,56129,5,44.71 ± 1.32,24.33 ± 0.58,0.774 ± 0.013,-0.0544 ± 0.0310
gru_h64_l2,48,3,56129,5,44.88 ± 0.61,24.40 ± 0.20,0.772 ± 0.006,-0.0585 ± 0.0144
lstm_h32_l2,24,3,25121,5,45.60 ± 1.23,25.04 ± 0.63,0.765 ± 0.013,-0.0755 ± 0.0291
gru_h32_l1,48,3,12513,5,45.66 ± 0.95,25.26 ± 0.40,0.765 ± 0.010,-0.0767 ± 0.0223
lstm_h32_l2,168,3,25121,5,45.72 ± 1.04,25.26 ± 0.52,0.764 ± 0.011,-0.0783 ± 0.0245
gru_h64_l1,168,3,31169,5,45.75 ± 0.76,25.33 ± 0.55,0.764 ± 0.008,-0.0790 ± 0.0180
