horizon_h,model,rmse,ci_low,ci_high,alpha,n_resamples,block_size_h
1,persistence,36.581593524432485,33.406846910054156,39.78658114932517,0.05,1000,24
1,seasonal_naive,73.13873007909714,67.10491165699611,79.14654330901008,0.05,1000,24
1,climatology,65.31529168406384,60.14702111804991,70.00661633044732,0.05,1000,24
1,sarimax,35.81148319957537,32.62469406935345,38.81705197537667,0.05,1000,24
1,ridge,34.49115335919166,31.545027548148134,37.42660407732262,0.05,1000,24
1,random_forest,33.47159377702973,30.477949292775392,36.365632116046434,0.05,1000,24
1,xgboost,33.653961829490434,30.641058179247803,36.642619752457804,0.05,1000,24
1,lightgbm,33.462908852058575,30.435788988962905,36.45573240008701,0.05,1000,24
1,gru_h64_l2,34.144787626401595,30.98439008898133,37.312379415958155,0.05,1000,24
3,persistence,60.40721282062346,56.18849723264501,65.32059075962671,0.05,1000,24
3,seasonal_naive,73.1478083660569,66.96659749778757,79.23633811057006,0.05,1000,24
3,climatology,65.30518294293076,60.29354194637203,70.15320787614858,0.05,1000,24
3,sarimax,55.48623090134229,51.469451181012595,59.725797201668826,0.05,1000,24
3,ridge,49.46257740836586,45.570064062979775,53.41227595373147,0.05,1000,24
3,random_forest,48.89157831207335,45.31506284760358,52.80992453959787,0.05,1000,24
3,xgboost,48.83351376480024,45.13435991611723,52.854713529111244,0.05,1000,24
3,lightgbm,48.746398388160394,45.108480361331715,52.70464423091347,0.05,1000,24
3,gru_h64_l1,48.31809709284369,44.46317170804165,52.57780411155591,0.05,1000,24
6,persistence,82.67135656366307,76.55962713421366,88.76476573026441,0.05,1000,24
6,seasonal_naive,73.20283653308965,67.30588577208816,79.03352078860655,0.05,1000,24
6,climatology,65.2323478261321,60.39707925484851,69.89049891407528,0.05,1000,24
6,sarimax,70.3677203828833,65.03904226697311,75.52871981218414,0.05,1000,24
6,ridge,57.13503766567567,52.38118719357899,61.72320212438595,0.05,1000,24
6,random_forest,57.19054162210382,52.50691309672211,61.63171385340471,0.05,1000,24
6,xgboost,56.52704504035783,52.04368596542465,60.91228918006092,0.05,1000,24
6,lightgbm,56.078918840133596,51.6718435901115,60.47177361502609,0.05,1000,24
6,gru_h64_l1,55.72362277922203,51.349435223648165,59.85614913720346,0.05,1000,24
12,persistence,98.65476302038726,91.53740700805145,106.04354714418626,0.05,1000,24
12,seasonal_naive,73.36036949483409,67.58386911654306,79.15703271910147,0.05,1000,24
12,climatology,65.07821966907805,60.23544379423621,70.139585147813,0.05,1000,24
12,sarimax,78.9005725396866,72.91411575182737,85.10355019196162,0.05,1000,24
12,ridge,59.67162098288175,54.7864712358236,64.68496916926416,0.05,1000,24
12,random_forest,57.27868892981686,52.521457167043565,62.141166586642896,0.05,1000,24
12,xgboost,57.02178472634108,52.302117457995145,61.85126035344854,0.05,1000,24
12,lightgbm,56.94022912975693,52.244037097295056,61.72900189206232,0.05,1000,24
12,gru_h64_l1,59.39768030895731,54.24291357957378,64.39857525191407,0.05,1000,24
24,persistence,73.76441129626997,67.77236700366622,79.86165753664693,0.05,1000,24
24,seasonal_naive,73.76441129626997,67.77236700366622,79.86165753664693,0.05,1000,24
24,climatology,65.43149142293335,60.524207156115516,70.45431772123273,0.05,1000,24
24,sarimax,81.36196179404095,74.8283983316878,87.9329078896508,0.05,1000,24
24,ridge,59.36511127642036,54.29835067176402,64.34211324456955,0.05,1000,24
24,random_forest,58.49972691929854,53.45459963334529,63.48943897903469,0.05,1000,24
24,xgboost,58.69697491092797,53.63589505081729,63.73194460250205,0.05,1000,24
24,lightgbm,59.020989543664804,54.0285693300039,64.189236858972,0.05,1000,24
24,gru_h64_l1,57.23559751855922,52.37959765062424,62.17312955529458,0.05,1000,24
