model,tier,variant,horizon_h,rmse,rmse_std,skill,skill_std,val,n_seeds,n_params,chosen_arch,city
climatology,tier1,standard,1,65.31529168406384,,-0.7854687396392506,,,1,,,Dhaka
climatology,tier1,standard,3,65.30518294293076,,-0.08108253788916908,,,1,,,Dhaka
climatology,tier1,standard,6,65.2323478261321,,0.2109437834626754,,,1,,,Dhaka
climatology,tier1,standard,12,65.07821966907805,,0.34034386504350056,,,1,,,Dhaka
climatology,tier1,standard,24,65.43149142293335,,0.11296666952126799,,,1,,,Dhaka
lightgbm,tier2,standard,1,33.462908852058575,,0.08525283816001539,,,1,,,Dhaka
lightgbm,tier2,standard,3,48.746398388160394,,0.1930367896146663,,,1,,,Dhaka
lightgbm,tier2,standard,6,56.078918840133596,,0.3216644655280493,,,1,,,Dhaka
lightgbm,tier2,standard,12,56.94022912975693,,0.4228334508493008,,,1,,,Dhaka
lightgbm,tier2,standard,24,59.020989543664804,,0.19987174700532984,,,1,,,Dhaka
persistence,tier1,standard,1,36.581593524432485,,0.0,,,1,,,Dhaka
persistence,tier1,standard,3,60.40721282062346,,0.0,,,1,,,Dhaka
persistence,tier1,standard,6,82.67135656366307,,0.0,,,1,,,Dhaka
persistence,tier1,standard,12,98.65476302038726,,0.0,,,1,,,Dhaka
persistence,tier1,standard,24,73.76441129626997,,0.0,,,1,,,Dhaka
random_forest,tier2,standard,1,33.47159377702974,,0.08501542573112919,,,1,,,Dhaka
random_forest,tier2,standard,3,48.89157831207336,,0.19063343549296452,,,1,,,Dhaka
random_forest,tier2,standard,6,57.19054162210382,,0.30821817858930534,,,1,,,Dhaka
random_forest,tier2,standard,12,57.27868892981686,,0.4194027011348649,,,1,,,Dhaka
random_forest,tier2,standard,24,58.49972691929854,,0.20693833392991934,,,1,,,Dhaka
ridge,tier2,standard,1,64.09681108705686,,-0.7521601688632629,,,1,,,Dhaka
ridge,tier2,standard,3,62.848994421021764,,-0.04042202058964506,,,1,,,Dhaka
ridge,tier2,standard,6,62.90276929345677,,0.2391225702820422,,,1,,,Dhaka
ridge,tier2,standard,12,64.88902497574087,,0.3422616101938091,,,1,,,Dhaka
ridge,tier2,standard,24,66.66219318236345,,0.09628244825788579,,,1,,,Dhaka
sarimax,tier1,standard,1,35.81148319957537,,0.021051852876304178,,,1,,,Dhaka
sarimax,tier1,standard,3,55.48623090134229,,0.08146348241382706,,,1,,,Dhaka
sarimax,tier1,standard,6,70.3677203828833,,0.1488258653564618,,,1,,,Dhaka
sarimax,tier1,standard,12,78.9005725396866,,0.2002355474374654,,,1,,,Dhaka
sarimax,tier1,standard,24,81.36196179404095,,-0.1029975073922289,,,1,,,Dhaka
seasonal_naive,tier1,standard,1,73.13873007909714,,-0.9993314405576266,,,1,,,Dhaka
seasonal_naive,tier1,standard,3,73.1478083660569,,-0.2109118257660072,,,1,,,Dhaka
seasonal_naive,tier1,standard,6,73.20283653308965,,0.11453205105303854,,,1,,,Dhaka
seasonal_naive,tier1,standard,12,73.36036949483409,,0.2563930290960815,,,1,,,Dhaka
seasonal_naive,tier1,standard,24,73.76441129626997,,0.0,,,1,,,Dhaka
xgboost,tier2,standard,1,33.653961829490434,,0.08003018493403558,,,1,,,Dhaka
xgboost,tier2,standard,3,48.83351376480024,,0.1915946542706879,,,1,,,Dhaka
xgboost,tier2,standard,6,56.52704504035783,,0.31624389159711186,,,1,,,Dhaka
xgboost,tier2,standard,12,57.02178472634108,,0.4220067741224275,,,1,,,Dhaka
xgboost,tier2,standard,24,58.69697491092797,,0.20426430741546375,,,1,,,Dhaka
