Family,Coverage,Fragmented,Contiguous,Difference
linear,100,0.148,0.148,0.000
linear,95,0.126,0.131,-0.005
linear,90,0.123,0.136,-0.012
linear,85,0.116,0.131,-0.015
linear,82,0.119,0.137,-0.018
linear,75,0.097,0.137,-0.040
naive,100,0.040,0.040,0.000
naive,95,0.031,0.034,-0.003
naive,90,0.043,0.024,0.018
naive,85,0.006,0.009,-0.003
naive,82,0.000,0.004,-0.004
naive,75,0.000,0.000,0.000
sequence,100,0.155,0.155,0.000
sequence,95,0.168,0.175,-0.007
sequence,90,0.164,0.172,-0.008
sequence,85,0.153,0.167,-0.014
sequence,82,0.157,0.172,-0.014
sequence,75,0.112,0.163,-0.051
trees,100,0.122,0.122,0.000
trees,95,0.116,0.123,-0.007
trees,90,0.112,0.122,-0.010
trees,85,0.109,0.120,-0.011
trees,82,0.107,0.117,-0.010
trees,75,0.094,0.115,-0.021
