arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.75,climatological,climatology,-0.0009604552509131393,0.08585176889576142,80.00680060427787,13959.3,183.7,0.75,10
contiguous,0.75,climatological,persistence,0.0,0.0,79.9300313859276,13959.3,183.7,0.75,10
contiguous,0.75,linear,dlinear,0.14515279950215648,0.01515037907050226,68.32796356596498,13959.3,183.7,0.75,10
contiguous,0.75,linear,ridge,0.12686413151087636,0.007373734662520314,69.7897773725148,13959.3,183.7,0.75,10
contiguous,0.75,sequence,gru_h64_l2,0.16269684374328036,0.01896202256709068,66.92566755913585,13959.3,183.7,0.75,10
contiguous,0.75,sequence,lstm_h64_l1,0.15757246656497587,0.016934410954942445,67.33525918783106,13959.3,183.7,0.75,10
contiguous,0.75,trees,lightgbm,0.08511452958364493,0.015563307106858255,73.1268243649084,13959.3,183.7,0.75,10
contiguous,0.75,trees,random_forest,0.1152938314687835,0.012111751194908099,70.71459181802389,13959.3,183.7,0.75,10
contiguous,0.75,trees,xgboost,0.0946286453066276,0.016286426709229303,72.36636079656105,13959.3,183.7,0.75,10
contiguous,0.82,climatological,climatology,0.00379575465500831,0.06273749088453169,79.62663659721952,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,climatological,persistence,0.0,0.0,79.9300313859276,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,linear,dlinear,0.14206981747663075,0.01708083180460439,68.57438641602751,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,linear,ridge,0.13018533608644384,0.008959255216257607,69.52431338655062,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,sequence,gru_h64_l2,0.15952688259950548,0.026887312331770892,67.17904265284994,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,sequence,lstm_h64_l1,0.17152526098459014,0.01172882016753355,66.2200118919499,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,trees,lightgbm,0.09178535099921921,0.017140743953199304,72.59362539979163,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,trees,random_forest,0.11711227988491366,0.015105841173595135,70.56924317904893,15402.4,196.9,0.8199906052878807,10
contiguous,0.82,trees,xgboost,0.09788479593749737,0.014397824455166117,72.10609657443833,15402.4,196.9,0.8199906052878807,10
contiguous,0.85,climatological,climatology,0.008229573458022,0.060176913681024485,79.27224132113511,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,climatological,persistence,0.0,0.0,79.9300313859276,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,linear,dlinear,0.13882562985482655,0.023627211900169077,68.83369443446016,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,linear,ridge,0.13083276044790584,0.008739208235391949,69.47256473701894,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,sequence,gru_h64_l2,0.16725936267156244,0.024066976193505753,66.56098527799938,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,sequence,lstm_h64_l1,0.16653101322719902,0.016273508576224487,66.61920227194727,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,trees,lightgbm,0.0930465978947805,0.013570440031169464,72.49281389584402,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,trees,random_forest,0.12043675801616047,0.012835968080298618,70.30351753767653,16020.5,202.7,0.8499865789826868,10
contiguous,0.85,trees,xgboost,0.10058338716110633,0.009839492727814146,71.89039809323747,16020.5,202.7,0.8499865789826868,10
contiguous,0.9,climatological,climatology,0.024259141239969174,0.030551176546718854,77.99099746522123,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,climatological,persistence,0.0,0.0,79.9300313859276,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,linear,dlinear,0.13800360994486932,0.012598758024510305,68.8993985116629,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,linear,ridge,0.13070017987789936,0.005692661610335643,69.48316190614074,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,sequence,gru_h64_l2,0.1717623739580825,0.015702233379171072,66.20105944453664,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,sequence,lstm_h64_l1,0.17175191956878516,0.011954872324648149,66.2018950642013,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,trees,lightgbm,0.10256657516091705,0.01086404097556772,71.7318818141684,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,trees,random_forest,0.12187141921493665,0.007470034545351629,70.18884502303018,17064.3,210.5,0.9000134210173132,10
contiguous,0.9,trees,xgboost,0.10720169282969971,0.008152733753791625,71.36139671342514,17064.3,210.5,0.9000134210173132,10
contiguous,0.95,climatological,climatology,0.03380061140383165,0.014413868396800237,77.22834745555579,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,climatological,persistence,0.0,0.0,79.9300313859276,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,linear,dlinear,0.14100938910037192,0.012041481496023385,68.6591464894244,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,linear,ridge,0.13054849195896367,0.0032680132907683644,69.49528632626212,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,sequence,gru_h64_l2,0.16970520121735228,0.014872268924669725,66.36548932626947,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,sequence,lstm_h64_l1,0.1754369941757476,0.009033445822847984,65.9073469352073,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,trees,lightgbm,0.09983492777121136,0.012017649969994017,71.95022247576287,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,trees,random_forest,0.12332462610917058,0.006891588553474089,70.07269015036381,18136.1,219.6,0.9500067105086567,10
contiguous,0.95,trees,xgboost,0.10894511649174868,0.0067609255346995,71.2220448053986,18136.1,219.6,0.9500067105086567,10
contiguous,1.0,climatological,climatology,0.03958970142685336,0.0,76.76562530831971,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,climatological,persistence,0.0,0.0,79.9300313859276,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,linear,dlinear,0.14839511305153433,0.0,68.06880534220019,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,linear,ridge,0.12990119177167192,0.0,69.54702505054847,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,sequence,gru_h64_l2,0.14880126103840163,0.0,68.03634192086257,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,sequence,lstm_h64_l1,0.15463845127724976,0.0,67.5697751218658,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,trees,lightgbm,0.09345055785062573,0.0,72.46052536389465,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,trees,random_forest,0.12180429494847222,0.0,70.19421026775544,19898.0,216.0,0.9810763655885116,1
contiguous,1.0,trees,xgboost,0.10382836726825506,0.0,71.63102673142636,19898.0,216.0,0.9810763655885116,1
fragmented,0.75,climatological,climatology,-0.004445696623749429,0.07597313455582679,80.28537605659622,3653.2,1243.1,0.75,10
fragmented,0.75,climatological,persistence,0.0,0.0,79.9300313859276,3653.2,1243.1,0.75,10
fragmented,0.75,linear,dlinear,0.044135065818214664,0.048421630507070615,76.40231418985772,3653.2,1243.1,0.75,10
fragmented,0.75,linear,ridge,0.09670476496348378,0.03399363360504155,72.2004164872276,3653.2,1243.1,0.75,10
fragmented,0.75,sequence,gru_h64_l2,0.11211782494062339,0.06543043318588286,70.96845011950164,3653.2,1243.1,0.75,10
fragmented,0.75,sequence,lstm_h64_l1,0.11088630882838224,0.05166187760089155,71.06688524100535,3653.2,1243.1,0.75,10
fragmented,0.75,trees,lightgbm,0.07523713779054314,0.044368331200023044,73.91632460094213,3653.2,1243.1,0.75,10
fragmented,0.75,trees,random_forest,0.09377402228391739,0.03746676391656377,72.43467084158941,3653.2,1243.1,0.75,10
fragmented,0.75,trees,xgboost,0.07220136629158119,0.05257795737286277,74.15897391213466,3653.2,1243.1,0.75,10
fragmented,0.82,climatological,climatology,-0.016491904137524015,0.0965194352386307,81.24822980125361,6431.9,990.2,0.8199906052878807,10
fragmented,0.82,climatological,persistence,0.0,0.0,79.9300313859276,6431.9,990.2,0.8199906052878807,10
fragmented,0.82,linear,dlinear,0.11890597172407769,0.014160731933682209,70.42587333404785,6431.9,990.2,0.8199906052878807,10
