hour_local,count,mean,median,std
0,1436,66.3,43.0,72.1
1,1436,66.17,41.0,75.31
2,1435,64.47,40.0,72.37
3,1431,61.65,38.0,68.5
4,1433,60.19,36.0,66.96
5,1436,58.54,36.0,65.69
6,1436,57.45,34.0,63.86
7,1436,57.62,35.0,62.53
8,1437,60.15,39.0,63.11
9,1435,63.84,41.0,66.28
10,1430,66.68,42.0,70.41
11,1417,67.81,41.0,73.66
12,1397,69.5,41.0,76.47
13,1407,69.68,40.0,76.51
14,1426,68.88,40.0,74.5
15,1429,69.29,41.0,76.64
16,1436,69.09,40.5,76.22
17,1440,69.97,42.0,77.64
18,1432,71.29,43.0,77.6
19,1419,71.39,47.0,76.35
20,1415,70.06,45.0,75.54
21,1429,69.17,46.0,74.35
22,1425,67.69,45.0,73.13
23,1432,67.26,44.0,72.65
