model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
persistence,tier1,1,18.053368408507794,8.92775133015962,0.9375698533254773,23.868088933044532,0.17838140576869224,3571,0.0,15.724780608256747,20.679129069736742
seasonal_naive,tier1,1,81.86891462760377,54.464855782693924,-0.28385486576317365,88.93070207514813,4.037524502940353,3571,-3.5348276717724536,70.46481006324997,94.91500282674767
climatology,tier1,1,76.81067747046198,58.65301240803734,-0.13011088250693748,93.77615150237311,9.304469400203297,3571,-3.2546452125944727,66.25614423880127,88.90387117607773
sarimax,tier1,1,17.702268595619316,8.971162809045014,0.9399898618984498,24.465211171643578,0.10979961617372251,3570,0.01944788390420371,15.419760504125861,20.250285493994618
ridge,tier2,1,17.97295466885468,9.33567903699328,0.9381247703701664,23.25050149977449,-1.0615650905796303,3571,0.0044542236015755465,15.568134978865961,20.930493750586017
random_forest,tier2,1,17.351311578100606,8.860611980675511,0.9423309917481467,22.732060895866088,-1.6087009383265258,3571,0.03888785818364715,14.856416599584264,20.104318447606435
xgboost,tier2,1,17.388724751469855,8.774635741857997,0.9420820299680754,22.57620654197135,-0.803678386972275,3571,0.03681549293176334,14.782813126946946,20.366631665431285
lightgbm,tier2,1,17.302048902251354,8.70944587845089,0.942657986829661,22.369740590378957,-0.968631344851866,3571,0.04161658308054994,14.859952873313027,20.162206892348156
persistence,tier1,3,33.62372849804489,17.23734533183352,0.7822344337062248,36.86342061231847,0.5421822272215973,3556,0.0,28.855033836363994,38.51457530063211
seasonal_naive,tier1,3,81.7943386535433,54.37795275590551,-0.28867664901198564,89.05157701817487,3.938695163104612,3556,-1.4326373756646107,70.0211818484712,94.6961622240375
climatology,tier1,3,76.68471546896538,58.54676397122028,-0.1327004931111213,93.86004911876438,9.437050381772524,3556,-1.280672575423167,65.7692341705692,89.15322417480216
sarimax,tier1,3,32.47961786800522,17.83188219736508,0.7969486729247033,40.00239449114982,0.37221486091769995,3553,0.034026881644199425,27.997358320534694,37.03706014546466
ridge,tier2,3,31.952163142960064,17.57832056927836,0.8033481671493428,35.27758007403963,-3.9743210277576586,3556,0.04971386070946959,27.57870432308449,36.76147023841112
random_forest,tier2,3,32.3033407511517,17.30068551148716,0.799001717841533,34.48151084589002,-5.393263086025311,3556,0.03926952202727796,27.46283382967318,37.464517214681756
xgboost,tier2,3,30.889489228907166,16.467901073652772,0.816211250517511,33.53323123476461,-3.75587684012984,3556,0.08131874099853953,26.22466550169917,35.70335202857533
lightgbm,tier2,3,31.548948382848106,16.550930206014858,0.8082800779965678,33.62210431377699,-3.7179163543949567,3556,0.06170583120540685,26.64651136470505,36.40956001861555
persistence,tier1,6,46.91187130470467,25.73272933182333,0.5763541046189432,49.39091867905419,0.9377123442808607,3532,0.0,40.16036713931256,53.618299434055764
seasonal_naive,tier1,6,81.68770462684527,54.287655719139295,-0.28454958811194864,89.26923739107396,3.6477916194790487,3532,-0.741301345586123,70.69436727096031,94.14414863767958
