Model,Tier,h (hours),RMSE,MAE,R2,sMAPE,Skill
persistence,tier1,1,18.050,8.930,0.938,23.870,0.000
seasonal_naive,tier1,1,81.870,54.460,-0.284,88.930,-3.535
climatology,tier1,1,76.810,58.650,-0.130,93.780,-3.255
sarimax,tier1,1,17.700,8.970,0.940,24.470,0.019
ridge,tier2,1,17.970,9.340,0.938,23.250,0.004
random_forest,tier2,1,17.350,8.860,0.942,22.730,0.039
xgboost,tier2,1,17.390,8.770,0.942,22.580,0.037
lightgbm,tier2,1,17.300,8.710,0.943,22.370,0.042
persistence,tier1,3,33.620,17.240,0.782,36.860,0.000
seasonal_naive,tier1,3,81.790,54.380,-0.289,89.050,-1.433
climatology,tier1,3,76.680,58.550,-0.133,93.860,-1.281
sarimax,tier1,3,32.480,17.830,0.797,40.000,0.034
ridge,tier2,3,31.950,17.580,0.803,35.280,0.050
random_forest,tier2,3,32.300,17.300,0.799,34.480,0.039
xgboost,tier2,3,30.890,16.470,0.816,33.530,0.081
lightgbm,tier2,3,31.550,16.550,0.808,33.620,0.062
persistence,tier1,6,46.910,25.730,0.576,49.390,0.000
seasonal_naive,tier1,6,81.690,54.290,-0.285,89.270,-0.741
climatology,tier1,6,76.770,58.570,-0.134,94.090,-0.636
sarimax,tier1,6,44.210,26.710,0.624,54.320,0.058
ridge,tier2,6,44.380,25.960,0.621,47.040,0.054
random_forest,tier2,6,43.800,25.390,0.631,46.050,0.066
xgboost,tier2,6,42.850,24.600,0.647,45.150,0.087
lightgbm,tier2,6,44.180,24.970,0.624,45.500,0.058
persistence,tier1,12,63.880,37.850,0.214,66.560,0.000
seasonal_naive,tier1,12,81.160,53.810,-0.268,89.350,-0.271
climatology,tier1,12,76.860,58.510,-0.138,94.380,-0.203
sarimax,tier1,12,57.010,38.630,0.376,71.890,0.108
ridge,tier2,12,58.470,36.030,0.341,63.450,0.085
random_forest,tier2,12,58.880,35.830,0.332,62.740,0.078
xgboost,tier2,12,58.840,34.890,0.333,61.730,0.079
lightgbm,tier2,12,59.230,34.710,0.324,61.510,0.073
persistence,tier1,24,79.930,52.660,-0.243,89.240,0.000
seasonal_naive,tier1,24,79.930,52.660,-0.243,89.240,0.000
climatology,tier1,24,76.770,58.270,-0.147,95.000,0.040
sarimax,tier1,24,66.170,48.390,0.153,86.380,0.172
ridge,tier2,24,69.550,43.060,0.059,79.840,0.130
random_forest,tier2,24,70.190,43.430,0.041,80.020,0.122
xgboost,tier2,24,71.980,44.130,-0.008,81.060,0.099
lightgbm,tier2,24,72.460,44.120,-0.022,81.160,0.093
