Family,Coverage,Fragmented,Contiguous,Difference
linear,100,0.058,0.058,0.000
linear,95,0.064,0.079,-0.015
linear,90,0.054,0.062,-0.007
linear,85,0.021,0.060,-0.040
linear,82,0.044,0.055,-0.011
linear,75,0.025,0.055,-0.030
naive,100,0.015,0.015,0.000
naive,95,0.004,0.012,-0.007
naive,90,0.000,0.012,-0.012
naive,85,0.000,0.011,-0.011
naive,82,0.000,0.006,-0.006
naive,75,0.000,0.000,0.000
sequence,100,0.075,0.075,0.000
sequence,95,0.064,0.080,-0.016
sequence,90,0.046,0.066,-0.020
sequence,85,0.047,0.064,-0.017
sequence,82,0.041,0.065,-0.025
sequence,75,0.018,0.057,-0.039
trees,100,-0.009,-0.009,0.000
trees,95,0.003,0.013,-0.009
trees,90,-0.025,0.003,-0.029
trees,85,-0.033,-0.006,-0.027
trees,82,-0.044,-0.014,-0.031
trees,75,-0.018,-0.031,0.014
