hour_local,count,mean,median,std
0,1435,97.43,70.0,94.59
1,1433,96.94,69.0,96.25
2,1431,95.43,69.0,94.15
3,1428,93.0,70.0,91.14
4,1427,89.59,67.0,87.99
5,1429,85.57,64.0,84.96
6,1431,82.69,60.0,82.59
7,1429,80.68,60.0,79.59
8,1431,80.28,58.0,77.29
9,1426,79.93,58.0,76.73
10,1421,80.04,56.0,77.92
11,1399,80.77,54.0,80.22
12,1404,80.53,56.0,80.3
13,1414,80.84,53.5,82.8
14,1423,79.46,52.0,83.51
15,1411,78.38,50.0,84.29
16,1410,78.26,50.0,84.09
17,1428,78.96,52.5,83.39
18,1422,81.73,55.0,83.99
19,1431,87.44,60.0,87.22
20,1432,93.66,66.0,89.92
21,1434,97.72,68.0,93.05
22,1427,97.95,68.0,94.55
23,1435,97.8,70.0,94.92
