model,tier,horizon_h,rmse,mae,r2,smape,bias,n,skill_vs_persistence,rmse_ci_lower,rmse_ci_upper
persistence,tier1,1,24.77869523437083,12.52867332382311,0.9482267797495599,18.53522885831697,0.045934379457917264,3505,0.0,21.323050468104988,28.678425341623523
seasonal_naive,tier1,1,108.46579823423873,73.67617689015692,0.007949126627944225,80.9000500401445,0.7164051355206847,3505,-3.3773813434609146,94.8958617171178,122.5499126049913
climatology,tier1,1,107.50367599854685,77.5754531781959,0.025470612514231994,83.19645272114481,-10.803254030649818,3505,-3.3385527357964833,92.18321320873413,123.76561609343261
sarimax,tier1,1,23.342452697793753,12.064342261008793,0.9540649481657323,19.1853896679505,-0.5688897768613856,3504,0.05796279921086589,20.119101276816796,27.088336787797697
ridge,tier2,1,26.236374296491224,13.391283875310785,0.9419561853685482,18.06721546777556,-2.3877562047744396,3505,-0.05882791843286528,22.017548746745206,30.751950663740693
random_forest,tier2,1,24.62467112091232,12.38529766283699,0.948868422912439,17.480901537449554,-3.3875011459586166,3505,0.006215989663768018,20.71217863356154,28.872964798016085
xgboost,tier2,1,24.169056517090034,12.106521163996005,0.9507430286594327,17.138159938166474,-2.2177698487923516,3505,0.024603342166102382,19.825696926516983,28.86522367956554
lightgbm,tier2,1,23.15522017105148,11.74562894061815,0.9547887889909672,16.92266505157994,-1.9268635641663467,3505,0.06551898911397924,19.278767690923818,27.121831298854296
persistence,tier1,3,50.02366745892041,27.68766103635843,0.7891290162408762,34.33820382009973,0.03693100486687661,3493,0.0,43.46145256999668,57.420631375237605
seasonal_naive,tier1,3,108.48598522116757,73.64185513884912,0.00822526266543988,80.90757202485048,0.8127683939307185,3493,-1.1686931553000708,94.90958422687997,122.51453938376778
climatology,tier1,3,107.53305724955135,77.60144098456098,0.02557200304535312,83.27966390703554,-10.817712766638444,3493,-1.1496436129529655,91.83054752750404,123.8652668063606
sarimax,tier1,3,47.84009105983909,28.014451593439826,0.8072595120232924,37.52041729009697,-2.213200781989569,3490,0.043650865880125234,41.69270499233579,54.50088120583401
ridge,tier2,3,49.276868042131,28.08209708217461,0.7953781716832411,32.72630513498847,-10.127327751338989,3493,0.014928921742946577,43.072285483652934,55.87392065288169
random_forest,tier2,3,49.39316591018607,27.64794529493674,0.7944111798685657,31.33244164480872,-11.093630132027915,3493,0.012604064850944896,42.53350940054281,56.3843133361907
xgboost,tier2,3,47.86142905423499,26.508274996809792,0.8069645420393688,30.22234322719243,-9.378946747509811,3493,0.04322430790307519,40.86620528322931,55.010648001469505
lightgbm,tier2,3,49.95352359341071,27.12046325769109,0.7897199739371253,30.423090745338925,-10.08493236595287,3493,0.00140221357355097,41.84117827100387,58.173821439026305
persistence,tier1,6,72.93826501636245,42.982158273381295,0.5516936917843605,49.248649637595804,0.26273381294964027,3475,0.0,62.99562209329819,83.50697386521887
seasonal_naive,tier1,6,108.65347465201853,73.74158273381295,0.005164598322259462,80.98403427540406,0.8805755395683453,3475,-0.4896635480381113,95.1047378068139,122.93860221004175
climatology,tier1,6,107.49367311187936,77.59706429656123,0.026289620962499205,83.35725028170447,-10.88707175592836,3475,-0.4737624083567795,91.54297589872213,124.82745558186645
sarimax,tier1,6,67.76237569501203,43.13975331276858,0.613693542491603,53.80047172437106,-4.318676455953208,3469,0.07096260543336619,59.19138872147573,76.4508243661695
ridge,tier2,6,69.20044049709605,41.59334551640595,0.5964645332895375,45.89784791973133,-21.23516586620678,3475,0.05124641391494411,59.72969413555702,79.28935030817993
random_forest,tier2,6,74.48248563523204,43.44351185170001,0.5325100101625638,45.657939182203016,-23.91271495469153,3475,-0.02117161161597636,62.1472728762358,87.29739513276799
xgboost,tier2,6,69.14646060093986,40.67594147282706,0.5970938445072065,44.1154609835715,-20.934146767373388,3475,0.05198649041860215,58.8246513767411,80.1552811095232
lightgbm,tier2,6,73.1054060214015,41.6581563716933,0.5496367133273727,44.6740172965003,-23.134812911101168,3475,-0.002291540729705499,60.390778083656485,86.00801248518704
persistence,tier1,12,95.25641039284565,59.151162790697676,0.23831947582737978,66.10902280100589,0.34069767441860466,3440,0.0,81.39654195122195,109.8399779997397
seasonal_naive,tier1,12,109.1459179051092,74.20755813953488,1.3290311137170718e-06,81.29867409761401,0.9244186046511628,3440,-0.14581178794143113,94.98130392363834,123.79360200132979
climatology,tier1,12,107.68319493143258,77.63603889194034,0.02662476494367283,83.38475336087676,-11.267715758171134,3440,-0.13045614974716968,91.672379511269,124.51027832899524
sarimax,tier1,12,85.87821758330762,58.31804836590716,0.38299547765792463,68.2356718621258,-8.084330957919295,3428,0.09845209126463572,74.17051486324475,98.70095931845654
ridge,tier2,12,92.72372491232787,57.933893639537125,0.27828427603051054,62.44086045794438,-36.51358441523618,3440,0.026588084414190805,78.54317888938861,108.24499987288726
