Model,Tier,h (hours),RMSE,MAE,R2,sMAPE,Skill
persistence,tier1,1,24.780,12.530,0.948,18.540,0.000
seasonal_naive,tier1,1,108.470,73.680,0.008,80.900,-3.377
climatology,tier1,1,107.500,77.580,0.025,83.200,-3.339
sarimax,tier1,1,23.340,12.060,0.954,19.190,0.058
ridge,tier2,1,26.240,13.390,0.942,18.070,-0.059
random_forest,tier2,1,24.620,12.390,0.949,17.480,0.006
xgboost,tier2,1,24.170,12.110,0.951,17.140,0.025
lightgbm,tier2,1,23.160,11.750,0.955,16.920,0.066
persistence,tier1,3,50.020,27.690,0.789,34.340,0.000
seasonal_naive,tier1,3,108.490,73.640,0.008,80.910,-1.169
climatology,tier1,3,107.530,77.600,0.026,83.280,-1.150
sarimax,tier1,3,47.840,28.010,0.807,37.520,0.044
ridge,tier2,3,49.280,28.080,0.795,32.730,0.015
random_forest,tier2,3,49.390,27.650,0.794,31.330,0.013
xgboost,tier2,3,47.860,26.510,0.807,30.220,0.043
lightgbm,tier2,3,49.950,27.120,0.790,30.420,0.001
persistence,tier1,6,72.940,42.980,0.552,49.250,0.000
seasonal_naive,tier1,6,108.650,73.740,0.005,80.980,-0.490
climatology,tier1,6,107.490,77.600,0.026,83.360,-0.474
sarimax,tier1,6,67.760,43.140,0.614,53.800,0.071
ridge,tier2,6,69.200,41.590,0.596,45.900,0.051
random_forest,tier2,6,74.480,43.440,0.533,45.660,-0.021
xgboost,tier2,6,69.150,40.680,0.597,44.120,0.052
lightgbm,tier2,6,73.110,41.660,0.550,44.670,-0.002
persistence,tier1,12,95.260,59.150,0.238,66.110,0.000
seasonal_naive,tier1,12,109.150,74.210,0.000,81.300,-0.146
climatology,tier1,12,107.680,77.640,0.027,83.380,-0.131
sarimax,tier1,12,85.880,58.320,0.383,68.240,0.099
ridge,tier2,12,92.720,57.930,0.278,62.440,0.027
random_forest,tier2,12,96.130,58.750,0.224,62.820,-0.009
xgboost,tier2,12,93.650,56.810,0.264,60.760,0.017
lightgbm,tier2,12,96.940,57.470,0.211,61.740,-0.018
persistence,tier1,24,109.870,74.750,-0.004,81.720,0.000
seasonal_naive,tier1,24,109.870,74.750,-0.004,81.720,0.000
climatology,tier1,24,108.240,77.800,0.025,83.290,0.015
sarimax,tier1,24,97.330,70.260,0.216,78.260,0.114
ridge,tier2,24,108.030,69.650,0.029,78.000,0.017
random_forest,tier2,24,111.750,70.060,-0.039,78.310,-0.017
xgboost,tier2,24,110.300,68.510,-0.012,75.760,-0.004
lightgbm,tier2,24,112.550,69.190,-0.054,77.160,-0.024
