Model,Window (h),Params,MACs,Latency mean (ms),Latency p95 (ms),Peak GPU (MB)
gru_h32_l1,24,5025,"125,216",0.270,0.404,16.200
gru_h32_l1,48,5025,"250,400",0.242,0.330,16.300
gru_h32_l1,168,5025,"876,320",0.237,0.276,16.500
gru_h32_l2,24,11361,"282,656",0.262,0.282,24.300
gru_h32_l2,48,11361,"565,280",0.277,0.364,24.300
gru_h32_l2,168,11361,"1,978,400",0.266,0.298,24.600
gru_h64_l1,24,16193,"397,888",0.218,0.235,16.400
gru_h64_l1,48,16193,"795,712",0.247,0.373,16.500
gru_h64_l1,168,16193,"2,784,832",0.250,0.379,17.000
gru_h64_l2,24,41153,"1,007,680",0.263,0.307,24.500
gru_h64_l2,48,41153,"2,015,296",0.257,0.292,24.600
gru_h64_l2,168,41153,"7,053,376",0.301,0.345,25.200
gru_h128_l1,24,56961,"1,385,600",0.238,0.319,16.800
gru_h128_l1,48,56961,"2,771,072",0.240,0.302,17.000
gru_h128_l1,168,56961,"9,698,432",0.265,0.312,18.000
lstm_h32_l1,24,6689,"165,920",0.242,0.275,16.200
lstm_h32_l1,48,6689,"331,808",0.249,0.307,16.300
lstm_h32_l1,168,6689,"1,161,248",0.279,0.414,16.700
lstm_h32_l2,24,15137,"374,816",0.270,0.309,24.300
lstm_h32_l2,48,15137,"749,600",0.286,0.371,24.400
lstm_h32_l2,168,15137,"2,623,520",0.277,0.307,24.700
lstm_h64_l1,24,21569,"528,448",0.263,0.415,16.400
lstm_h64_l1,48,21569,"1,056,832",0.252,0.336,16.600
lstm_h64_l1,168,21569,"3,698,752",0.259,0.326,17.200
lstm_h64_l2,24,54849,"1,339,456",0.276,0.363,24.700
lstm_h64_l2,48,54849,"2,678,848",0.267,0.322,24.800
lstm_h64_l2,168,54849,"9,375,808",0.348,0.431,26.400
lstm_h128_l1,24,75905,"1,843,328",0.243,0.277,17.000
lstm_h128_l1,48,75905,"3,686,528",0.267,0.288,17.200
lstm_h128_l1,168,75905,"12,902,528",0.433,0.466,18.500
dlinear,24,866,864,0.320,0.361,8.100
dlinear,48,1730,"1,728",0.328,0.380,8.200
dlinear,168,6050,"6,048",0.365,0.488,8.200
nlinear,24,435,433,0.196,0.316,8.100
nlinear,48,867,865,0.165,0.179,8.100
nlinear,168,3027,"3,025",0.165,0.186,8.200
