Model,Window (h),RMSE@24h,Skill,Params,MACs,Latency (ms),Train kWh,gCO2e (BD)
lstm_h64_l2,24,57.650,0.218,54849,"1,339,456",0.276,2.417e-04,0.1682
gru_h64_l1,24,57.700,0.218,16193,"397,888",0.218,2.102e-04,0.1463
lstm_h64_l1,24,57.770,0.217,21569,"528,448",0.263,2.513e-04,0.1750
lstm_h64_l1,48,57.850,0.216,21569,"1,056,832",0.252,2.330e-04,0.1622
lstm_h128_l1,168,57.850,0.216,75905,"12,902,528",0.433,4.377e-04,0.3047
lstm_h64_l1,168,57.940,0.215,21569,"3,698,752",0.259,3.330e-04,0.2318
gru_h64_l1,48,57.960,0.214,16193,"795,712",0.247,2.296e-04,0.1598
lstm_h128_l1,48,58.150,0.212,75905,"3,686,528",0.267,2.347e-04,0.1634
lstm_h32_l1,168,58.220,0.211,6689,"1,161,248",0.279,3.465e-04,0.2412
lstm_h32_l1,48,58.220,0.211,6689,"331,808",0.249,2.736e-04,0.1904
lstm_h128_l1,24,58.230,0.211,75905,"1,843,328",0.243,2.117e-04,0.1474
gru_h128_l1,24,58.310,0.209,56961,"1,385,600",0.238,1.923e-04,0.1339
lstm_h32_l1,24,58.480,0.207,6689,"165,920",0.242,2.490e-04,0.1733
gru_h64_l1,168,58.600,0.205,16193,"2,784,832",0.250,2.851e-04,0.1985
gru_h64_l2,48,58.970,0.201,41153,"2,015,296",0.257,2.330e-04,0.1622
lstm_h64_l2,168,59.060,0.199,54849,"9,375,808",0.348,3.372e-04,0.2347
gru_h64_l2,24,59.060,0.199,41153,"1,007,680",0.263,2.214e-04,0.1541
gru_h32_l1,24,59.100,0.199,5025,"125,216",0.270,2.181e-04,0.1518
gru_h64_l2,168,59.110,0.199,41153,"7,053,376",0.301,3.323e-04,0.2314
lstm_h32_l2,48,59.430,0.194,15137,"749,600",0.286,2.593e-04,0.1805
lstm_h32_l2,24,59.470,0.194,15137,"374,816",0.270,2.551e-04,0.1776
lstm_h64_l2,48,59.550,0.193,54849,"2,678,848",0.267,2.345e-04,0.1633
gru_h128_l1,168,59.570,0.192,56961,"9,698,432",0.265,3.766e-04,0.2622
gru_h32_l1,48,59.570,0.192,5025,"250,400",0.242,2.143e-04,0.1492
gru_h128_l1,48,59.700,0.191,56961,"2,771,072",0.240,2.358e-04,0.1642
lstm_h32_l2,168,59.740,0.190,15137,"2,623,520",0.277,3.097e-04,0.2156
gru_h32_l2,24,59.880,0.188,11361,"282,656",0.262,2.783e-04,0.1937
gru_h32_l1,168,59.920,0.188,5025,"876,320",0.237,2.803e-04,0.1952
gru_h32_l2,168,60.430,0.181,11361,"1,978,400",0.266,3.096e-04,0.2156
gru_h32_l2,48,60.670,0.177,11361,"565,280",0.277,2.740e-04,0.1908
dlinear,168,65.350,0.114,6050,"6,048",0.365,3.310e-04,0.2304
nlinear,168,66.030,0.105,3027,"3,025",0.165,2.558e-04,0.1781
dlinear,24,66.400,0.100,866,864,0.320,1.962e-04,0.1366
dlinear,48,66.820,0.094,1730,"1,728",0.328,2.253e-04,0.1569
nlinear,48,69.830,0.053,867,865,0.165,2.029e-04,0.1412
nlinear,24,79.680,-0.080,435,433,0.196,1.616e-04,0.1125
