Family,Coverage,Fragmented,Contiguous,Difference
climatological,100,0.052,0.052,0.000
climatological,95,0.046,0.048,-0.002
climatological,90,0.047,0.046,0.001
climatological,85,0.042,0.045,-0.004
climatological,82,0.041,0.044,-0.004
climatological,75,0.044,0.039,0.005
linear,100,0.089,0.089,0.000
linear,95,0.096,0.100,-0.004
linear,90,0.101,0.095,0.006
linear,85,0.092,0.103,-0.011
linear,82,0.099,0.094,0.005
linear,75,0.089,0.108,-0.019
sequence,100,0.142,0.142,0.000
sequence,95,0.123,0.122,0.001
sequence,90,0.114,0.113,0.001
sequence,85,0.115,0.118,-0.004
sequence,82,0.112,0.111,0.001
sequence,75,0.110,0.111,-0.001
trees,100,0.111,0.111,0.000
trees,95,0.110,0.103,0.007
trees,90,0.099,0.101,-0.002
trees,85,0.089,0.096,-0.007
trees,82,0.081,0.098,-0.018
trees,75,0.083,0.097,-0.014
