arm,target_coverage,family,model,skill,skill_std,rmse,train_rows,n_gaps,coverage,n_draws
contiguous,0.75,climatological,climatology,0.031300166369713764,0.020298132820980155,91.99247297223407,17066.8,154.5,0.75,10
contiguous,0.75,linear,ridge,0.08976571266663988,0.009859060815821786,86.44029880970645,17066.8,154.5,0.75,10
contiguous,0.75,sequence,gru_h64_l2,0.11674678677277206,0.013814768700427308,83.87804407991209,17066.8,154.5,0.75,10
contiguous,0.75,trees,xgboost,0.09923608016703966,0.020356861904995343,85.5409464034479,17066.8,154.5,0.75,10
contiguous,0.82,climatological,climatology,0.04194471264659007,0.010470257473464107,90.98161480783496,18756.4,163.1,0.8199906052878807,10
contiguous,0.82,linear,ridge,0.09191534071008099,0.00976078648707749,86.2361596194007,18756.4,163.1,0.8199906052878807,10
contiguous,0.82,sequence,gru_h64_l2,0.10996790875568316,0.03703005837716442,84.52179948392832,18756.4,163.1,0.8199906052878807,10
contiguous,0.82,trees,lightgbm,0.0993981179118356,0.027132734699892844,85.52555850686619,18756.4,163.1,0.8199906052878807,10
contiguous,0.85,climatological,climatology,0.04308349496112814,0.009691702282390132,90.87347047080249,19466.9,166.5,0.8499865789826868,10
contiguous,0.85,linear,ridge,0.09307522492904446,0.008323087962397807,86.12601134233941,19466.9,166.5,0.8499865789826868,10
contiguous,0.85,sequence,lstm_h64_l1,0.1206197166119735,0.023373619518865477,83.51025172444022,19466.9,166.5,0.8499865789826868,10
contiguous,0.85,trees,lightgbm,0.09771215147431149,0.02551002884987851,85.68566612385091,19466.9,166.5,0.8499865789826868,10
contiguous,0.9,climatological,climatology,0.044309034964670924,0.00554820865335173,90.7570871993924,20674.3,172.3,0.9000134210173132,10
contiguous,0.9,linear,ridge,0.09375380806142465,0.006476665855978763,86.06156976993721,20674.3,172.3,0.9000134210173132,10
contiguous,0.9,sequence,gru_h64_l2,0.12057782111913193,0.019861266564406895,83.514230325302,20674.3,172.3,0.9000134210173132,10
contiguous,0.9,trees,xgboost,0.09906412940290894,0.007649592819355567,85.55727568881855,20674.3,172.3,0.9000134210173132,10
contiguous,0.95,climatological,climatology,0.04485306133164816,0.004156597644610405,90.70542379539162,21876.0,182.0,0.9500067105086567,10
contiguous,0.95,linear,ridge,0.09622562348265087,0.0037746960756605487,85.82683409079773,21876.0,182.0,0.9500067105086567,10
contiguous,0.95,sequence,gru_h64_l2,0.11976494575226851,0.01799374626647504,83.59142494495599,21876.0,182.0,0.9500067105086567,10
contiguous,0.95,trees,xgboost,0.09845739605661535,0.00866163740515625,85.61489405420124,21876.0,182.0,0.9500067105086567,10
contiguous,1.0,climatological,climatology,0.04941151038969349,0.0,90.2725311828307,23288.0,180.0,0.9893638437793585,1
contiguous,1.0,linear,dlinear,0.10595550885267872,0.0,84.90283659864286,23288.0,180.0,0.9893638437793585,1
contiguous,1.0,sequence,lstm_h64_l1,0.11358361172517388,0.0,84.17843464979804,23288.0,180.0,0.9893638437793585,1
contiguous,1.0,trees,xgboost,0.10984359398651511,0.0,84.53360502228574,23288.0,180.0,0.9893638437793585,1
fragmented,0.75,climatological,climatology,0.039484558924511845,0.01772962610870677,91.2152430349997,10108.0,1229.0,0.75,10
fragmented,0.75,linear,ridge,0.09174928143231849,0.011385954553152236,86.2519294204175,10108.0,1229.0,0.75,10
fragmented,0.75,sequence,gru_h64_l2,0.10671925562022033,0.029621316300609362,84.83030747101061,10108.0,1229.0,0.75,10
fragmented,0.75,trees,xgboost,0.08313932013776781,0.027834230857480814,87.06957344613457,10108.0,1229.0,0.75,10
fragmented,0.82,climatological,climatology,0.028647525245339023,0.02809910362966399,92.2443807443502,13147.0,988.4,0.8199906052878807,10
fragmented,0.82,linear,ridge,0.09671968213385072,0.008918693545810784,85.77991586542045,13147.0,988.4,0.8199906052878807,10
fragmented,0.82,sequence,gru_h64_l2,0.11644977636798723,0.019894647574881064,83.90624964027876,13147.0,988.4,0.8199906052878807,10
fragmented,0.82,trees,random_forest,0.07915582643907601,0.016868150664535463,87.44786548634136,13147.0,988.4,0.8199906052878807,10
fragmented,0.85,climatological,climatology,0.03257699696998895,0.025307927746288046,91.87121889495634,14812.4,839.2,0.8499865789826868,10
fragmented,0.85,linear,ridge,0.09616395816155307,0.009352890647936252,85.83269013122167,14812.4,839.2,0.8499865789826868,10
fragmented,0.85,sequence,lstm_h64_l1,0.11994768355588674,0.009733708477948638,83.57407126956889,14812.4,839.2,0.8499865789826868,10
fragmented,0.85,trees,xgboost,0.08446577460340356,0.021799765245762937,86.94360684395028,14812.4,839.2,0.8499865789826868,10
fragmented,0.9,climatological,climatology,0.04240581161875081,0.010055023075939041,90.93782659474621,17341.6,644.2,0.9000134210173132,10
fragmented,0.9,linear,ridge,0.09470892464194497,0.008025196308118166,85.9708672291,17341.6,644.2,0.9000134210173132,10
fragmented,0.9,sequence,gru_h64_l2,0.11407421651617142,0.0206127075467962,84.13184441987434,17341.6,644.2,0.9000134210173132,10
fragmented,0.9,trees,xgboost,0.09179179035833783,0.017112730439615174,86.24789256494157,17341.6,644.2,0.9000134210173132,10
fragmented,0.95,climatological,climatology,0.0434467019375014,0.008958578264547865,90.83897856030828,20357.7,413.6,0.9500067105086567,10
fragmented,0.95,linear,ridge,0.0971522828908671,0.004583814058076819,85.73883398219304,20357.7,413.6,0.9500067105086567,10
fragmented,0.95,sequence,gru_h64_l2,0.11637335819264687,0.02254257699098381,83.91350668388043,20357.7,413.6,0.9500067105086567,10
fragmented,0.95,trees,xgboost,0.10707222382486555,0.009026711305769023,84.79678788434548,20357.7,413.6,0.9500067105086567,10
fragmented,1.0,climatological,climatology,0.04941151038969349,0.0,90.2725311828307,23288.0,180.0,0.9893638437793585,1
fragmented,1.0,linear,dlinear,0.10595550885267872,0.0,84.90283659864286,23288.0,180.0,0.9893638437793585,1
fragmented,1.0,sequence,lstm_h64_l1,0.11358361172517388,0.0,84.17843464979804,23288.0,180.0,0.9893638437793585,1
fragmented,1.0,trees,xgboost,0.10984359398651511,0.0,84.53360502228574,23288.0,180.0,0.9893638437793585,1
