model,arm,lookback_h,n_common,rmse_common,ci_low,ci_high
climatology,A24,24.0000,9083,65.4037,60.3437,70.3250
climatology,A48,48.0000,9083,65.3592,60.3531,70.2642
climatology,B24,24.0000,9083,65.4315,60.5242,70.4543
climatology,B48,48.0000,9083,65.4315,60.5242,70.4543
climatology,C,,9083,65.4315,60.5242,70.4543
lightgbm,A24,24.0000,9083,58.5441,53.5767,63.7193
lightgbm,A48,48.0000,9083,58.6248,53.5121,63.8162
lightgbm,B24,24.0000,9083,58.5693,53.6806,63.7790
lightgbm,B48,48.0000,9083,58.4309,53.4733,63.5990
lightgbm,C,,9083,59.0210,54.0286,64.1892
persistence,A24,24.0000,9083,73.7644,67.7724,79.8617
persistence,A48,48.0000,9083,73.7644,67.7724,79.8617
persistence,B24,24.0000,9083,73.7644,67.7724,79.8617
persistence,B48,48.0000,9083,73.7644,67.7724,79.8617
persistence,C,,9083,73.7644,67.7724,79.8617
random_forest,A24,24.0000,9083,58.2461,53.3046,63.3797
random_forest,A48,48.0000,9083,58.4120,53.3673,63.4538
random_forest,B24,24.0000,9083,58.3918,53.4446,63.3646
random_forest,B48,48.0000,9083,58.3661,53.3640,63.4046
random_forest,C,,9083,58.4997,53.4546,63.4894
ridge,A24,24.0000,9083,59.6422,54.4281,64.7100
ridge,A48,48.0000,9083,59.4959,54.1840,64.4819
ridge,B24,24.0000,9083,59.6047,54.3883,64.6139
ridge,B48,48.0000,9083,59.5439,54.3086,64.5930
ridge,C,,9083,59.3651,54.2984,64.3421
xgboost,A24,24.0000,9083,58.3632,53.2768,63.4827
xgboost,A48,48.0000,9083,58.4784,53.2772,63.6250
xgboost,B24,24.0000,9083,58.4514,53.5243,63.6384
xgboost,B48,48.0000,9083,58.4651,53.4982,63.5679
xgboost,C,,9083,58.6243,53.6406,63.7296
