model,lookback_h,rmse_C,rmse_B,rmse_A,total_mse_delta,volume_mse_delta,richness_mse_delta,residual
climatology,24,65.4315,65.4315,65.4037,-3.6400,-3.6400,0.0000,0.0000
climatology,48,65.4315,65.4315,65.3592,-9.4495,-9.4495,0.0000,0.0000
dlinear_w24,24,65.9962,65.9962,68.0718,278.2710,278.2710,0.0000,0.0000
dlinear_w24,48,65.9962,65.9962,66.0588,8.2668,8.2668,0.0000,0.0000
dlinear_w48,24,66.4291,66.4291,65.8150,-81.2013,-81.2013,0.0000,0.0000
dlinear_w48,48,66.4291,66.4291,65.8263,-79.7151,-79.7151,0.0000,0.0000
gru_h64_l2_w24,24,57.6014,57.6014,58.0350,50.1429,50.1429,0.0000,0.0000
gru_h64_l2_w24,48,57.6014,57.6014,58.2589,76.1857,76.1857,0.0000,0.0000
gru_h64_l2_w48,24,58.0568,58.0568,58.9834,108.4469,108.4469,0.0000,0.0000
gru_h64_l2_w48,48,58.0568,58.0568,58.0321,-2.8701,-2.8701,0.0000,0.0000
lightgbm,24,59.0210,58.5693,58.5441,-56.0611,-2.9470,-53.1140,0.0000
lightgbm,48,59.0210,58.4309,58.6248,-46.6097,22.6948,-69.3045,0.0000
lstm_h64_l1_w24,24,57.2850,57.2850,56.6172,-76.0612,-76.0612,0.0000,0.0000
lstm_h64_l1_w24,48,57.2850,57.2850,56.6124,-76.6086,-76.6086,0.0000,0.0000
lstm_h64_l1_w48,24,56.8292,56.8292,57.3498,59.4478,59.4478,0.0000,0.0000
lstm_h64_l1_w48,48,56.8292,56.8292,56.7207,-12.3174,-12.3174,0.0000,0.0000
persistence,24,73.7644,73.7644,73.7644,0.0000,0.0000,0.0000,0.0000
persistence,48,73.7644,73.7644,73.7644,0.0000,0.0000,0.0000,0.0000
random_forest,24,58.4997,58.3918,58.2461,-29.6076,-16.9970,-12.6106,0.0000
random_forest,48,58.4997,58.3661,58.4120,-10.2602,5.3537,-15.6139,0.0000
ridge,24,59.3651,59.6047,59.6422,32.9796,4.4749,28.5047,0.0000
ridge,48,59.3651,59.5439,59.4959,15.5449,-5.7180,21.2630,0.0000
xgboost,24,58.6243,58.4514,58.3632,-30.5425,-10.2949,-20.2476,0.0000
xgboost,48,58.6243,58.4651,58.4784,-17.0844,1.5590,-18.6435,0.0000
