horizon_h,model,in_confidence_set,mcs_p_value,mean_squared_loss
1,gru_h64_l2,False,0.016,1165.9166440909332
1,persistence,False,0.0,1338.317689917497
1,seasonal_naive,False,0.0,5349.017250616093
1,climatology,False,0.0,4265.053357227193
1,sarimax,False,0.0,1282.4623289534693
1,ridge,False,0.011,1189.6817845939386
1,random_forest,True,0.088,1120.413679350518
1,xgboost,True,0.088,1132.6603431502056
1,lightgbm,True,0.088,1119.8087032751012
3,gru_h64_l1,True,0.146,2335.1087859458357
3,persistence,False,0.0,3649.505264288784
3,seasonal_naive,False,0.0,5351.670068758058
3,climatology,False,0.0,4260.967845912226
3,sarimax,False,0.0,3078.721819637066
3,ridge,True,0.146,2446.3118820870413
3,random_forest,True,0.146,2389.915503300647
3,xgboost,True,0.146,2384.6954419043914
3,lightgbm,True,0.146,2375.8492100078565
6,gru_h64_l1,True,0.077,3106.6315978786956
6,persistence,False,0.0,6837.809405673606
6,seasonal_naive,False,0.0,5359.892136770575
6,climatology,False,0.0,4251.205371392091
6,sarimax,False,0.0,4951.616071883634
6,ridge,True,0.077,3263.771958453332
6,random_forest,False,0.011,3269.8476227714
6,xgboost,True,0.077,3195.712834165017
6,lightgbm,True,0.077,3145.0368127544525
12,gru_h64_l1,False,0.0,3531.976813244867
12,persistence,False,0.0,9731.607826086956
12,seasonal_naive,False,0.0,5387.969347826087
12,climatology,False,0.0,4236.487707195709
12,sarimax,False,0.0,6225.3003470903195
12,ridge,False,0.0,3562.9379479536415
12,random_forest,True,0.431,3283.7315712098693
12,xgboost,True,0.431,3254.416221518892
12,lightgbm,True,0.431,3245.260879526545
24,gru_h64_l1,True,0.071,3277.8701258318615
24,persistence,False,0.0,5450.258748206204
24,seasonal_naive,False,0.0,5450.258748206204
24,climatology,False,0.0,4263.511523773737
24,sarimax,False,0.0,6619.768826974988
24,ridge,True,0.071,3520.53248684238
24,random_forest,True,0.071,3418.717941166878
24,xgboost,True,0.071,3437.11554007573
24,lightgbm,True,0.071,3474.591754003167
