location_id,name,provider,owner,country,lat,lon,distance_km,is_monitor,is_mobile,has_pm25,pm25_units,n_parameters,parameters,api_first_utc,api_last_utc,s3_years,s3_n_year_partitions
6271076,Baridhara Lakeside,AirGradient,AirGradient,BD,23.805806130405518,90.41580533677225,0.6,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-03-14T04:00:00Z,2026-08-01T06:00:00Z,2026,1
6234363,Gulshan Society Lake Park | Dhaka | Smart Air Bangladesh,AirGradient,Smart Air Bangladesh,BD,23.801435,90.410545,1.0,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-09T11:00:00Z,2026-08-01T06:00:00Z,2026,1
6242232,"Baridhara, Park Road | Dhaka l Smart Air Bangladesh",AirGradient,Smart Air Bangladesh,BD,23.8015,90.42206,1.38,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-16T16:00:00Z,2026-08-01T06:00:00Z,2026,1
2445,US Diplomatic Post: Dhaka,StateAir Dhaka,Unknown Governmental Organization,BD,23.797687,90.423698,1.8,True,False,True,µg/m³,1,pm25,2016-03-10T22:00:00Z,2016-11-09T16:00:00Z,2016,1
8415,Dhaka,AirNow,Unknown Governmental Organization,BD,23.796374,90.424614,1.98,True,False,True,µg/m³,2,"o3,pm25",2016-11-09T18:00:00Z,2025-03-24T13:00:00Z,2016-2025,10
6219691,"Abdullahbag, North Badda",AirGradient,AirGradient,BD,23.78935,90.43179,3.04,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-01-29T07:00:00Z,2026-01-29T12:00:00Z,2026,1
6240773,"North Badda, Abdullahbag | Dhaka l Smart Air Bangladesh",AirGradient,Smart Air Bangladesh,BD,23.78930160418681,90.43181041772891,3.05,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-15T10:00:00Z,2026-08-01T06:00:00Z,2026,1
6322838,Sensor No -03,AirGradient,AirGradient,BD,23.785969,90.427902,3.12,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-04-26T07:00:00Z,2026-04-26T10:00:00Z,2026,1
6322839,Sensor No -04,AirGradient,AirGradient,BD,23.823305,90.440429,3.19,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-04-26T07:00:00Z,2026-04-26T09:00:00Z,2026,1
6313504,Sensor No -01,AirGradient,AirGradient,BD,23.780512,90.423122,3.47,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-04-19T11:00:00Z,2026-04-26T10:00:00Z,2026,1
5105944,smart air bangladesh office,AirGradient,AirGradient,BD,23.780810956001233,90.42464769681916,3.49,False,False,True,µg/m³,3,"pm1,pm25,um003",2025-07-17T09:00:00Z,2025-10-22T05:00:00Z,2025,1
6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",AirGradient,AirGradient,BD,23.787855,90.3728743,4.74,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-24T18:00:00Z,2026-06-17T14:00:00Z,2026,1
6242079,Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,AirGradient,Smart Air Bangladesh,BD,23.751525098776487,90.40418346811546,6.56,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-16T11:00:00Z,2026-08-01T06:00:00Z,2026,1
6157905,"RAJUK Uttara Apartment Project, Sector - 18, Uttara",AirGradient,AirGradient,BD,23.856237,90.356837,7.62,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2025-12-09T11:00:00Z,2026-08-01T06:00:00Z,2025-2026,2
6240023,"Dhanmondi, Road No. 7 | Dhaka l Smart Air Bangladesh",AirGradient,Smart Air Bangladesh,BD,23.744966,90.383485,7.82,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-14T17:00:00Z,2026-08-01T06:00:00Z,2026,1
6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",AirGradient,Smart Air Bangladesh,BD,23.740437369394463,90.37358367755498,8.7,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-11T13:00:00Z,2026-08-01T06:00:00Z,2026,1
1285342,SPARTAN - Dhaka University,SPARTAN Network,Unknown Governmental Organization,BD,23.7284,90.3982,9.19,True,False,True,µg/m³,1,pm25,,,-,0
22,SPARTAN - Dhaka University,Spartan,Unknown Governmental Organization,BD,23.728,90.398,9.23,True,False,True,µg/m³,1,pm25,,,2014-2015,2
6234078,Kaliganj | Gazipur | Smart Air Bangladesh,AirGradient,Smart Air Bangladesh,BD,23.900343,90.539289,16.32,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-02-09T05:00:00Z,2026-08-01T06:00:00Z,2026,1
6219798,"Kalijung,Gazipur ",AirGradient,AirGradient,BD,23.900352,90.539333,16.32,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-01-29T09:00:00Z,2026-02-05T05:00:00Z,2026,1
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",AirGradient,Unknown Person,BD,23.888280501941725,90.26536993068466,17.3,False,False,True,µg/m³,6,"pm1,pm10,pm25,relativehumidity,temperature,um003",2024-10-28T08:00:00Z,2026-06-30T09:00:00Z,2024-2026,3
6314693,Khulna City | Dhaka | Smart Air Bangladesh,AirGradient,AirGradient,BD,22.820601,89.559077,,False,False,True,µg/m³,5,"pm1,pm25,relativehumidity,temperature,um003",2026-04-20T09:00:00Z,2026-08-01T06:00:00Z,2026,1
