model,window,horizon_h,seed,n_params,rmse,mae,r2,smape,bias,n,skill_vs_persistence
gru_h32_l1,24,1,42,5025,36.178010180439045,19.95065413415349,0.8452470529567728,17.829619543775816,-7.846568439447194,9334,0.011032415625193859
gru_h32_l1,24,1,1337,5025,35.29919850425454,19.545068971621166,0.8526740453249284,17.651339082066,-5.285340443490388,9334,0.035055745161058804
gru_h32_l1,24,1,2024,5025,34.422829464831246,19.32985902141287,0.8598985256393563,17.660020542829727,-2.701377099943958,9334,0.05901230240720434
gru_h32_l1,24,1,7,5025,34.63548121861018,19.154093647674785,0.8581621867430544,17.498530108872927,-3.5989563879726325,9334,0.05319922174856917
gru_h32_l1,24,1,31415,5025,36.59113319455699,19.913109577836185,0.8416925717145811,17.825724935980045,-5.840382326833868,9334,-0.00026077787229605853
gru_h32_l1,24,3,42,5025,48.71296290800776,29.462710591391087,0.7194601473228348,25.910126807991073,-9.046654188326983,9311,0.1935902910690691
gru_h32_l1,24,3,1337,5025,47.711614846385494,29.281555829930166,0.730875209467345,25.968720480259073,-4.815539718626859,9311,0.21016692182003127
gru_h32_l1,24,3,2024,5025,49.75754591383094,30.14476223787645,0.7072995583089259,26.375469892680144,-5.5421474096824,9311,0.1762979354537716
gru_h32_l1,24,3,7,5025,49.07904846903614,29.68902760037975,0.7152277010709585,26.271743258562935,-11.409255057071979,9311,0.18752999555244831
gru_h32_l1,24,3,31415,5025,48.847892167628395,29.385290947116737,0.7179038692148474,25.858106454508007,-8.405928157837934,9311,0.191356629668049
gru_h32_l1,24,6,42,5025,56.345760871949764,34.670064833310164,0.6243028307428347,30.0747595267433,-10.589866735799172,9277,0.31843672084225016
gru_h32_l1,24,6,1337,5025,56.33268835248637,34.61218637768636,0.6244771380467549,30.22803545825291,-13.28693571692337,9277,0.31859484718741693
gru_h32_l1,24,6,2024,5025,55.88903589286254,34.52155086531258,0.6303687652395917,30.21320088708528,-11.475089236562708,9277,0.32396130635858333
gru_h32_l1,24,6,7,5025,57.10109467519824,35.151513234532686,0.614162623967514,30.554940015539422,-13.279246789154545,9277,0.3093001367259993
gru_h32_l1,24,6,31415,5025,56.76136905787746,34.94964026007084,0.6187400812535105,30.392878006925393,-13.903009683314508,9277,0.31340948767222654
gru_h32_l1,24,12,42,5025,59.36714715400875,37.03899539672333,0.58305323358397,32.0918337008477,-10.613373678654373,9212,0.39823334082977446
gru_h32_l1,24,12,1337,5025,60.38647318250349,37.51201319921893,0.5686124747099126,32.901785213126,-15.712714818504576,9212,0.3879010872488289
gru_h32_l1,24,12,2024,5025,61.87309724325446,38.15751816018365,0.5471108006764412,33.225143355907846,-18.02956052606293,9212,0.37283213350309075
gru_h32_l1,24,12,7,5025,60.64364385006605,37.70663604581236,0.5649303106384778,32.893024022997324,-15.039937209008341,9212,0.3852943132858787
gru_h32_l1,24,12,31415,5025,58.32855298591713,36.66000022017718,0.5975141137421288,31.74000278951113,-7.848086541914657,9212,0.4087609031723751
gru_h32_l1,24,24,42,5025,59.31046076069691,36.92278496996672,0.5865997796105162,32.55326180886354,-12.348603683241697,9083,0.1959474803848119
gru_h32_l1,24,24,1337,5025,61.27684323693778,37.738518066294226,0.5587335835180248,33.140246661284294,-17.93153809152989,9083,0.1692898762409515
gru_h32_l1,24,24,2024,5025,57.688982549917256,36.30262288363433,0.6088945508429322,31.86141496908352,-6.337168386599965,9083,0.21792933019944805
gru_h32_l1,24,24,7,5025,58.29840664802908,36.560727852410906,0.6005876599906718,32.41887752415082,-10.204976651635151,9083,0.20966756700765476
gru_h32_l1,24,24,31415,5025,58.9403970364114,36.32076685192287,0.5917424527607664,31.51749230695458,-12.178589015706079,9083,0.20096431326915742
gru_h32_l1,48,1,42,5025,35.06946755378792,19.42487642790943,0.8545854313342789,17.716843999803807,-3.871737183796341,9334,0.04133570533592601
gru_h32_l1,48,1,1337,5025,34.370713981270235,19.280191471503745,0.8603224262348177,17.651117449233805,-4.816885364462911,9334,0.06043693918597681
gru_h32_l1,48,1,2024,5025,34.21292191814295,19.353536055714564,0.8616019702644102,17.770078654382946,-1.9949296767561897,9334,0.06475036700376435
gru_h32_l1,48,1,7,5025,35.24879898300656,19.39552056935362,0.8530944433593517,17.580175069147437,-5.539915735936844,9334,0.036433474133262256
gru_h32_l1,48,1,31415,5025,37.014494188649664,20.136728736104168,0.8380081321599008,17.98960055472427,-6.19071848742853,9334,-0.011833838346272385
gru_h32_l1,48,3,42,5025,49.4390813727836,30.08370743383669,0.7110343248784826,26.38632507280278,-8.984735687522171,9311,0.1815698976281067
gru_h32_l1,48,3,1337,5025,50.217563730315185,30.14800316380339,0.7018623995477473,26.154328220898808,-11.022318967964294,9311,0.16868265583724218
gru_h32_l1,48,3,2024,5025,50.31551568686998,30.412735630743004,0.7006981996043796,26.545225366801333,-6.695009767066228,9311,0.1670611283410861
gru_h32_l1,48,3,7,5025,49.44137829292073,29.934157976304657,0.7110074737931453,26.224968456945742,-9.890859747598157,9311,0.1815318736897411
gru_h32_l1,48,3,31415,5025,49.40913042749252,29.920103979416325,0.7113843384015193,26.295968575222968,-8.545592998240096,9311,0.18206571499647328
gru_h32_l1,48,6,42,5025,57.47308593998334,35.52855399306068,0.6091190902449108,30.659459326674583,-11.311910745623651,9277,0.3048004976702564
gru_h32_l1,48,6,1337,5025,57.81331921929089,35.80312070641199,0.604477462412781,31.04866032551938,-13.457128745093165,9277,0.30068500599998804
gru_h32_l1,48,6,2024,5025,59.017975594394656,36.63316168654849,0.5878227245933058,31.41130850648285,-15.637727850811507,9277,0.2861133765363286
gru_h32_l1,48,6,7,5025,59.266759472567216,36.40859651550586,0.584340423155002,31.349677918858056,-15.68347076949729,9277,0.2831040648652303
gru_h32_l1,48,6,31415,5025,57.85118236766706,35.753622994059214,0.6039592208488116,30.803558465822412,-14.49509244361735,9277,0.3002270100271385
gru_h32_l1,48,12,42,5025,59.68488718689012,37.053873642098075,0.5785781926963633,32.058853028691495,-10.280504930305442,9212,0.39501261409389743
gru_h32_l1,48,12,1337,5025,60.587098311610795,37.37464541940309,0.5657412704984643,32.17987485447159,-15.890129425736385,9212,0.38586747910903896
gru_h32_l1,48,12,2024,5025,61.215745364137476,37.80736852986006,0.5566828482290491,32.658677842860925,-14.658165186622881,9212,0.3794952875059151
gru_h32_l1,48,12,7,5025,58.313866321236915,37.20138360402677,0.5977167737003832,32.55149107735502,-5.7407848951311315,9212,0.40890977246393867
gru_h32_l1,48,12,31415,5025,59.41327961935119,37.56638552631026,0.5824049876578716,32.985237370172264,-9.094052553928888,9212,0.3977657256439481
gru_h32_l1,48,24,42,5025,61.08158478521473,37.42852716491883,0.5615412908630399,32.516409138559624,-17.97462236500948,9083,0.17193693121355624
gru_h32_l1,48,24,1337,5025,58.93601411408734,36.91251167798131,0.5918031681504666,32.48944327755357,-8.930077498220601,9083,0.20102373111371186
gru_h32_l1,48,24,2024,5025,58.30500300098486,36.5363623195224,0.6004972693959807,31.906179911877086,-6.087934675992443,9083,0.20957814240790718
gru_h32_l1,48,24,7,5025,59.93995810427034,37.14285731653963,0.5777778838284258,32.78248136500587,-14.347200401594788,9083,0.18741359076905817
gru_h32_l1,48,24,31415,5025,59.587886614706356,36.54153795329125,0.5827233593231891,31.753340160416045,-14.990133760166735,9083,0.1921865088114717
gru_h32_l1,168,1,42,5025,35.50641895503259,19.6756076799043,0.8509392433674783,18.008444928650285,-6.066303977303815,9334,0.02939113542666727
gru_h32_l1,168,1,1337,5025,34.51860488267983,19.441804055191298,0.8591178260603094,17.79118283755255,-5.220801777647315,9334,0.05639417102961364
gru_h32_l1,168,1,2024,5025,34.431566347128175,19.38419231764932,0.8598273981086653,17.725218220657236,-3.5566314491563227,9334,0.058773469664964884
gru_h32_l1,168,1,7,5025,35.268738152272654,19.545736727926744,0.8529281963769362,17.691345721480282,-5.811757100584731,9334,0.035888413971988053
gru_h32_l1,168,1,31415,5025,37.06351917726998,20.252879135023896,0.8375787377330444,18.035134654107477,-6.919820043286252,9334,-0.013173992885674224
gru_h32_l1,168,3,42,5025,49.60522657612319,30.189813825544302,0.7090888626543816,26.551857115413853,-7.717322743425307,9311,0.17881947767688422
gru_h32_l1,168,3,1337,5025,52.107672173772265,31.188205176392028,0.6789972024319506,26.83963185701813,-12.281260383373613,9311,0.13739320619702
gru_h32_l1,168,3,2024,5025,51.50541316520712,30.899344021791045,0.6863746033244069,26.857910266116157,-11.106822290922088,9311,0.14736319124422825
gru_h32_l1,168,3,7,5025,50.37587224602851,30.501088100638416,0.6999797070475164,26.67954987543016,-12.143863107318504,9311,0.16606196687773978
gru_h32_l1,168,3,31415,5025,49.6811652263462,30.14876286345962,0.7081974925287352,26.5623029726682,-9.005661440080788,9311,0.17756236537725678
gru_h32_l1,168,6,42,5025,58.20740294003722,36.42708291290876,0.5990669364363426,31.16705127843103,-10.625245362530173,9277,0.2959181346538906
gru_h32_l1,168,6,1337,5025,57.38369580359308,36.10414156414637,0.6103340493789978,31.140388455575916,-8.368313033229118,9277,0.3058817686219606
gru_h32_l1,168,6,2024,5025,61.625914489474994,38.02209735463636,0.5505905698460067,32.24982321570604,-17.650703899158795,9277,0.2545675182913144
gru_h32_l1,168,6,7,5025,59.68295479454751,36.71327384614736,0.578482063573933,31.522834209367744,-16.49727146381654,9277,0.2780697296458754
gru_h32_l1,168,6,31415,5025,58.771953757390705,36.35686180754213,0.5912519595761816,31.19229421230658,-15.068170086158426,9277,0.2890892783145279
