Model,Stratum,Group,N,RMSE,MAE,Bias,Skill
persistence,overall,all,9083,73.760,45.220,0.010,0.000
persistence,season,monsoon (wet),2937,40.790,26.600,-0.050,0.000
persistence,season,dry,6146,85.130,54.120,0.030,0.000
persistence,pollution,observed > 65 ug/m3,6069,86.590,56.820,-6.130,0.000
persistence,pollution,observed <= 65 ug/m3,3014,36.070,21.860,12.360,0.000
persistence,pollution,observed > 35 ug/m3,7952,77.810,48.710,-2.250,0.000
persistence,pollution,observed <= 35 ug/m3,1131,33.560,20.720,15.880,0.000
climatology,overall,all,9083,65.430,42.720,-13.060,0.113
climatology,season,monsoon (wet),2937,34.870,22.100,-10.760,0.145
climatology,season,dry,6146,75.800,52.570,-14.160,0.110
climatology,pollution,observed > 65 ug/m3,6069,76.450,53.220,-26.510,0.117
climatology,pollution,observed <= 65 ug/m3,3014,33.670,21.580,14.030,0.067
climatology,pollution,observed > 35 ug/m3,7952,69.020,46.170,-17.400,0.113
climatology,pollution,observed <= 35 ug/m3,1131,29.840,18.450,17.460,0.111
seasonal_naive,overall,all,9083,73.760,45.220,0.010,0.000
seasonal_naive,season,monsoon (wet),2937,40.790,26.600,-0.050,0.000
seasonal_naive,season,dry,6146,85.130,54.120,0.030,0.000
seasonal_naive,pollution,observed > 65 ug/m3,6069,86.590,56.820,-6.130,0.000
seasonal_naive,pollution,observed <= 65 ug/m3,3014,36.070,21.860,12.360,0.000
seasonal_naive,pollution,observed > 35 ug/m3,7952,77.810,48.710,-2.250,0.000
seasonal_naive,pollution,observed <= 35 ug/m3,1131,33.560,20.720,15.880,0.000
gru_h64_l1,overall,all,9083,59.620,37.540,-12.650,0.192
gru_h64_l1,season,monsoon (wet),2937,32.700,20.360,-9.780,0.198
gru_h64_l1,season,dry,6146,68.870,45.740,-14.020,0.191
gru_h64_l1,pollution,observed > 65 ug/m3,6069,71.120,48.110,-22.680,0.179
gru_h64_l1,pollution,observed <= 65 ug/m3,3014,22.980,16.240,7.560,0.363
gru_h64_l1,pollution,observed > 35 ug/m3,7952,63.330,41.050,-15.910,0.186
gru_h64_l1,pollution,observed <= 35 ug/m3,1131,18.720,12.860,10.300,0.442
