Model,Window (h),h (hours),Params,Seeds,RMSE,MAE,R2,Skill
lstm_h64_l1,24,1,21569,5,33.12 ± 0.13,19.33 ± 0.05,0.870 ± 0.001,0.0945 ± 0.0036
lstm_h128_l1,24,1,75905,5,33.21 ± 0.37,19.48 ± 0.38,0.870 ± 0.003,0.0923 ± 0.0101
lstm_h64_l1,168,1,21569,5,33.27 ± 0.19,19.44 ± 0.10,0.869 ± 0.001,0.0906 ± 0.0051
lstm_h128_l1,48,1,75905,5,33.29 ± 0.17,19.42 ± 0.25,0.869 ± 0.001,0.0901 ± 0.0047
lstm_h64_l1,48,1,21569,5,33.32 ± 0.32,19.45 ± 0.04,0.869 ± 0.003,0.0891 ± 0.0088
lstm_h128_l1,168,1,75905,5,33.41 ± 0.21,19.64 ± 0.31,0.868 ± 0.002,0.0867 ± 0.0057
gru_h64_l2,24,1,41153,5,33.89 ± 0.40,19.39 ± 0.12,0.864 ± 0.003,0.0737 ± 0.0108
gru_h128_l1,48,1,56961,5,33.95 ± 0.65,19.37 ± 0.14,0.864 ± 0.005,0.0719 ± 0.0176
gru_h128_l1,24,1,56961,5,34.06 ± 0.42,19.23 ± 0.11,0.863 ± 0.003,0.0690 ± 0.0116
lstm_h32_l1,24,1,6689,5,34.27 ± 0.78,19.67 ± 0.39,0.861 ± 0.006,0.0632 ± 0.0214
gru_h128_l1,168,1,56961,5,34.30 ± 0.73,19.58 ± 0.19,0.861 ± 0.006,0.0624 ± 0.0199
lstm_h32_l1,168,1,6689,5,34.41 ± 0.88,19.77 ± 0.46,0.860 ± 0.007,0.0594 ± 0.0240
lstm_h64_l2,168,1,54849,5,34.47 ± 0.39,20.04 ± 0.77,0.860 ± 0.003,0.0579 ± 0.0107
lstm_h64_l2,48,1,54849,5,34.48 ± 0.34,19.73 ± 0.19,0.859 ± 0.003,0.0575 ± 0.0093
lstm_h32_l1,48,1,6689,5,34.57 ± 0.68,19.84 ± 0.34,0.859 ± 0.006,0.0551 ± 0.0187
